PCA GP with DV
formula = lambda X: 0.3 * X[:,0] * np.sin(2*math.pi*X[:,1])
    |    Population Average   |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    46.62 55.43411358119315        7 0.08185931420061601 0.11557024822775036      7.24s
   1    12.83 0.6779397885094727        7 0.08102822185605768 0.11942136533668363      5.90s
   2     5.94 0.4681556784558303        7 0.0771993770757544 0.15388096835941306      5.21s
   3     3.46 0.32011425788026215        3 0.08680144855361892 0.21598412755050478      4.42s
   4     1.78 0.2593965593743257        3 0.08539237840800612 0.21628351360999867      3.68s
   5     1.74 0.2695870221556799        1 0.08562042680721821 0.21423107801709007      3.14s
   6     1.41 0.3860818242110223        1 0.08609328744314831 0.20997533229371912      2.80s
   7     1.51 0.6387648620213077        1 0.08263093573135229 0.24113649769988335      2.43s
   8     1.46 0.3500973554909755        1 0.08505599583558328 0.21931095676180434      2.13s
   9     1.34 0.16841996220236197        1 0.08661835846372762 0.20524969310850522      1.87s
  10     1.98 0.33597931870042447        1 0.08208361871876721 0.24606235081314903      1.63s
  11     1.56 0.23522982228507758        1 0.08297545989942141 0.23803578018726118      1.40s
  12      1.5 0.3886402203935762        1 0.08567135820021934 0.2137726954800798      1.19s
  13     1.51 0.41993579945083775        1 0.08618507986911327 0.20914920046003457      1.00s
  14     1.64 0.9982747195220395        1 0.08459248749788967 0.22348253180104705      0.81s
  15     1.58 0.3449606045283646        1 0.08687531508470547 0.20293708351970474      0.64s
  16      1.7 0.6814334972119486        1 0.0869812187440572 0.20198395058553914      0.47s
  17     1.42 0.25854801681693507        1 0.08534548977044122 0.21670551134808297      0.31s
  18     2.24 1.2797846215490372        1 0.08381567395895191 0.23047385365148665      0.15s
  19     1.36 0.21351809223345897        1 0.08505599583558328 0.21931095676180434      0.00s
  20      1.2 0.18884855790181487        1 0.10305022420046 0.22982640297684953      0.10s
  21      1.8 0.4825021409816771        1 0.10281570035332287 0.2319371176010837      0.19s
  22     1.84 0.6657779888335668        1 0.10112114718903831 0.24718809607964481      0.26s
  23     1.47 0.28963050961414705        1 0.10412130974991678 0.2201866330317387      0.31s
  24     1.52 0.6680514460366602        1 0.1033970957800842 0.22670455876023177      0.35s
  25     1.31 0.2562021488377131        1 0.102090655406824 0.23846252211957367      0.37s
  26      1.6 0.4841622536484287        1 0.10146557463273798 0.2440882490863477      0.39s
  27     1.55 0.2920513430225856        1 0.10368558811930254 0.2241081277072668      0.40s
  28     1.59 0.5334110336938701        1 0.10160784334543405 0.2428078306720832      0.39s
  29     1.27 0.40625515079859653        1 0.1048482634010129 0.21364405017187352      0.38s
  30      1.4 0.6509420336174743        1 0.10225200357353849 0.2370103886191431      0.37s
  31     1.58 0.28316787828395407        1 0.10014807938836205 0.2559457062857311      0.35s
  32     1.35 0.3415965742048747        1 0.10183401995779498 0.2407722411608348      0.32s
  33     2.24 0.28118965994811945        3 0.09993722919706233 0.21705989833721318      0.29s
  34     1.36 0.8250018137500583        1 0.10091942800368825 0.24900356874779533      0.25s
  35     1.59 2.40453967774927        1 0.10171560748432293 0.24183795342208325      0.21s
  36     1.78 0.8323487537204417        1 0.10221822145107365 0.23731442772132672      0.16s
  37     1.37 0.28776778076228393        1 0.10247017832876759 0.23504681582208117      0.11s
  38      1.6 3.2276126217940915        1 0.09991657969278822 0.2580292035458956      0.06s
  39     1.54 0.1778107629468515        1 0.10062729591585251 0.251632757538317      0.00s
  40     1.84 0.6542564532599623        3 0.0785497040417413 0.1895077453538732      0.06s
  41      2.1 0.3108125770697709        1 0.07836721714307324 0.23036711048547803      0.11s
  42     1.56 0.35246802013512396        1 0.08046793855826079 0.2114606177487901      0.15s
  43     1.44 1.0328209677793962        1 0.0821016806429829 0.19675693898629118      0.18s
  44      1.5 0.22821943552356688        1 0.07916943088221423 0.2231471868332091      0.20s
  45      1.6 0.2805702086685269        1 0.08293264044680303 0.1892783007519099      0.22s
  46     1.78 0.5878226114342436        1 0.07917958007252561 0.22305584412040672      0.23s
  47     1.79 3.1254977894272686        1 0.08011428177642949 0.178516617378025      0.24s
  48      1.4 0.6886635715415466        1 0.07987863562528015 0.18063743273836902      0.24s
  49     1.62 0.3228955890110751        3 0.07837517184531131 0.19145683895879664      0.24s
  50     1.71 0.23183684934144302        1 0.07705149404500242 0.2060817069608685      0.24s
  51     1.58 1.4087055347613304        1 0.07749063253107848 0.20212946058618408      0.23s
  52     1.38 0.3500989365013193        1 0.07772410349384906 0.20002822192124878      0.21s
  53     1.81 0.530717417482495        1 0.07862687352202496 0.19190329166766562      0.19s
  54     1.76 1.1940022436576425        1 0.07664281253896865 0.20975984051517255      0.17s
  55      1.6 0.19587846148960084        1 0.07654916374315218 0.21060267967752086      0.14s
  56     1.56 0.8453484943038135        1 0.07452951176271858 0.22877954750142315      0.11s
  57     1.53 0.3479425010043737        1 0.07892075846311461 0.18925832719785896      0.08s
  58     1.43 0.6019409641105269        1 0.07698339510874569 0.2066945973871791      0.04s
  59     1.68 0.37072490195665225        1 0.07817975011177748 0.19592740235989303      0.00s
Final Fitness:  0.017113240102727193
    |    Population Average   |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    46.62 1233.8201249808665        7 0.10304312990316597 0.1776835970479249      6.87s
   1    12.42  6.9425526614279        3 0.09888215396087531 0.19812686723733805      5.29s
   2      6.0 0.4455032218341109        3 0.09996059228661311 0.18842092230569785      4.60s
   3     3.64 0.401206279331079        3 0.0979196352236115 0.22435360079710492      4.21s
   4      1.8 0.32956568692470084        3 0.09579815656908876 0.24344690868780958      3.51s
   5     1.74 0.2974961899883987        1 0.09915985411879015 0.24595463044342014      2.99s
   6     1.41 0.4200108968292016        1 0.10224563951899551 0.21818256184157175      2.60s
   7     1.51 0.650586309942588        1 0.09829161411605686 0.2537687904680197      2.27s
   8     1.46 0.5068247434010603        1 0.10074388803537779 0.23169832519413125      1.99s
   9     1.34 0.2000836188562701        1 0.10128744586270286 0.22680630474820562      1.74s
  10     1.98 0.7050588571180708        1 0.0971198481131568 0.2643146844941203      1.52s
  11     1.56 0.331396021228576        1 0.10096626254569593 0.22969695460126796      1.31s
  12      1.5 1.861119699793149        1 0.09749162287080775 0.26096871167526176      1.12s
  13     1.51 0.47435897849438846        1 0.09909364983851716 0.24655046896587685      0.94s
  14     1.64 1.841759668800575        1 0.09950049561281478 0.24288885699719842      0.77s
  15     1.58 1.0390147385622353        1 0.09936958460460676 0.2440670560710705      0.60s
  16      1.7 0.8780128214965742        1 0.0958596777671013 0.2756562176086197      0.45s
  17     1.42 0.3278451264751204        1 0.0976094528070186 0.25990824224936404      0.30s
  18     2.24 0.9205716472540197        1 0.09706512072088375 0.26480723102457765      0.15s
  19     1.36 0.21547043138813826        1 0.09643768680411852 0.27045413627546466      0.00s
  20      1.2 0.17202404521592907        7 0.09694356095887653 0.1181312266752049      0.10s
  21      1.8 0.535618692718983       15 0.09590059402586117 0.1275179290723433      0.18s
  22     1.84 2.700038701902358        1 0.09378824351459597 0.23184753570185446      0.28s
  23     1.47 0.28633097850230027        1 0.0867562817451212 0.24867636232186746      0.33s
  24     1.52 0.679642103366445        3 0.08857041531989929 0.19348953742600017      0.37s
  25     1.31 0.2584569760310459        1 0.09009760226689184 0.21860447762593183      0.39s
  26      1.6 0.5237707200895396        1 0.09163431217209825 0.20477408847907408      0.40s
  27     1.55 0.3445297833108237        1 0.09014704150065318 0.21815952452207965      0.41s
  28     1.59 0.5620584330824897        1 0.0870716234521604 0.2458382869585148      0.41s
  29     1.27 0.7642303378346174        1 0.08863949808983068 0.23172741521948215      0.40s
  30      1.4 0.5419544840494285        1 0.08761590391700712 0.151952301340059      0.38s
  31     1.58 0.540120492436619        1 0.08327165953183191 0.19105050080663588      0.35s
  32     1.35 0.4409040719906615        1 0.08475733568901385 0.1776794153919984      0.32s
  33     2.24 0.329350819847578        1 0.0825864824951556 0.1972170941367225      0.29s
  34     1.36 0.5026500876071408        1 0.08122585849384295 0.20946271014853654      0.25s
  35     1.59 4.438485324361416        1 0.08188909231153299 0.20349360578932607      0.21s
  36     1.78 1.119391080618394        1 0.08138442063179319 0.20803565090698434      0.16s
  37     1.37 0.8415457881825329        1 0.08335116327511144 0.19033496711712006      0.11s
  38      1.6 2.8499676610552083        1 0.08252105849685479 0.1978059101214299      0.06s
  39     1.54 0.14736791649295955        1 0.08177015841909481 0.20456401082126963      0.00s
  40     1.84 0.7030421831983024        1 0.09904031082881676 0.2772098455948788      0.09s
  41      2.1 0.4396369009175298        3 0.10393211962388656 0.13298514673709638      0.16s
  42     1.56 0.6702397901252367        1 0.1026702269783913 0.24454060024870797      0.26s
  43     1.44 2.9534806876756523        1 0.10428145717102118 0.23003952851503912      0.31s
  44      1.5 0.24703004832160125        1 0.10308584960278637 0.2407999966291523      0.37s
  45      1.6 0.29198228017936295        1 0.10000428653075255 0.17082731205748128      0.41s
  46     1.78 0.6547205654199864        1 0.09296244153130252 0.23420391705253155      0.45s
  47     1.79 17.764867284152682        1 0.09483931307012258 0.21731207320315088      0.48s
  48      1.4 1.0773257460742407        1 0.09104802609295738 0.25143365599763773      0.49s
  49     1.62 0.3886052563427779        3 0.09237499149192156 0.23699929992478136      0.46s
  50     1.71 0.27315922430546324        1 0.09225398551463905 0.24058002120250266      0.44s
  51     1.58 1.4453390332952927        1 0.09208103422151456 0.24213658284062312      0.41s
  52     1.38 1.3154795484892876        1 0.09254115861345596 0.23799546331315052      0.37s
  53     1.81 0.5736683100978586        1 0.09042839741913941 0.2570103140619994      0.32s
  54     1.76 1.52786339368551        1 0.09344191813373937  0.2298886276306      0.28s
  55      1.6 0.22942269999635648        1 0.09055355247482841 0.25588391856079845      0.23s
  56     1.56 1.0204153880259472        1 0.09289877058717456 0.23477695554968303      0.18s
  57     1.53 0.34713388154824093        1 0.09504141401663503 0.21549316468453886      0.13s
  58     1.43 0.7636619306782552        1 0.09396534278253753 0.22517780579141639      0.07s
  59     1.68 0.5022782072250658        1 0.0931030081564005 0.23293881742664965      0.00s
Final Fitness:  0.01634842089085004
    |    Population Average   |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    46.62 176.77408955711945        7 0.09746331006815878 0.10906695615498868     10.76s
   1    12.28 2.016787896277607       19 0.09517442273490039 0.2321460700166066      7.91s
   2     5.77 0.4391108079068225        3 0.09141565982216232 0.21260439272612552      6.29s
   3      3.6 0.42109305514858475        3 0.09380062831001648 0.19113967633543796      5.16s
   4     1.76 0.40865336771572525        1 0.09081452773789095 0.2216652687334677      4.58s
   5     1.74 0.2725348523997161        1 0.09276198009323644 0.20413819753535822      4.07s
   6     1.41 0.41601432054912435        1 0.09096763302192741 0.2202873211771395      3.62s
   7     1.51 0.880990504184886        1 0.08946668880976774 0.23379581908657654      3.26s
   8     1.46 0.7812372984473561        1 0.09032585654458283 0.22606330947324071      2.84s
   9     1.34 0.18751901801644763        1 0.09182601017767228 0.21256192677543562      2.56s
  10     1.98 0.3646522352458166        1 0.08795582855568135 0.2473935613733541      2.28s
  11     1.56 0.2828958082241433        1 0.08962892253088846 0.23233571559649      1.98s
  12      1.5 1.631631727878537        1 0.08896740347052874 0.23828938713972747      1.67s
  13     1.51 0.4559359856776504        1 0.09139714704951582 0.21642169492884378      1.41s
  14     1.64 0.7019473804661167        1 0.09051063166638176 0.2244003333770504      1.14s
  15     1.58 0.5104472211778206        1 0.09274117327038196 0.20432545894104853      0.89s
  16      1.7 5.203516836493784        1 0.08933015861296917 0.2350245908577637      0.67s
  17     1.42 0.44041605354437374        1 0.09096369518909392 0.22032276167264092      0.44s
  18     2.24 1.6651423002201182        1 0.08781262879715993 0.2486823592000469      0.22s
  19     1.36 0.19082223228282238        1 0.09090746943559329 0.22082879345414663      0.00s
  20      1.2 0.13365367175131024        1 0.07582279812731363 0.18036114524679286      0.23s
  21      1.8 0.3734126653875495        1 0.07218441689369495 0.21310657634936098      0.41s
  22     1.84 0.5593345282753133        1 0.07176209599378287 0.21690746444856962      0.53s
  23     1.47 0.21226675734488232        1 0.07449104758801989 0.19234690010043662      0.61s
  24     1.52 0.5588067020687453        1 0.075363476674602 0.1844950383211975      0.64s
  25     1.31 0.2247999739753834        1 0.07282043454359169 0.20738241750029035      0.69s
  26      1.6 0.4556795255630351        1 0.07351129147087751 0.20116470515471788      0.68s
  27     1.55 0.25414969279051475        1 0.07068726969385516 0.226580901147919      0.66s
  28     1.59 0.5001944355643816        1 0.0746155013566967 0.19122681618234516      0.62s
  29     1.27 0.3418521178045944        1 0.07124518827401659 0.22155963392646622      0.59s
  30      1.4 0.5026257981492663        1 0.07269982365843244 0.20846791546672355      0.56s
  31     1.58 0.2985681789467541        1 0.07230340175351088 0.2120357126110175      0.54s
  32     1.35 0.7005323831449849        1 0.07126150097411149 0.22141281962561216      0.51s
  33     2.24 0.2742194317880029        1 0.073600098310508 0.20036544359804354      0.45s
  34     1.36 0.2518121502015448        1 0.07388976986823957 0.19775839957845942      0.38s
  35     1.59 1.004668179951562        1 0.07035811994166893 0.2295432489175951      0.31s
  36     1.78 0.6562383651405835        1 0.07156338893458239 0.218695827981374      0.24s
  37     1.37 0.22768502128205306        1 0.07480250230650437 0.18954380763407605      0.16s
  38      1.6 1.0268926369811209        1 0.07372381557603422 0.19925198820830742      0.08s
  39     1.54 0.13752059673400466        1 0.07390364715263703 0.1976335040188823      0.00s
  40     1.84 0.6700379714275936        1 0.08052087766407667 0.17614509219606295      0.12s
  41      2.1 0.509955987503795        1 0.07720036740201909 0.20602968455458123      0.17s
  42     1.56 0.32352272164178714        3 0.07436689324115457 0.11109681940794193      0.21s
  43     1.44 3.2996669518279536        1 0.07703880893172349 0.20748371078724157      0.23s
  44      1.5 0.3087222825472712        3 0.07663501068486406 0.1327017425121383      0.25s
  45      1.6 0.3425652320462649        7 0.07505750271730917 0.1345172823721302      0.27s
  46     1.78 0.8464698856193781        1 0.07666148664363025 0.13164688541412617      0.30s
  47     1.79 57.80212554168939        1 0.07340682196977144 0.1609388674788556      0.33s
  48      1.4 0.5381663516756161        1 0.07222106477945234 0.17161068219172754      0.34s
  49     1.62 0.3213650950146011        1 0.07028041946420825 0.18907649002892424      0.34s
  50     1.71 0.370895123915811        1 0.07087843823215693 0.18369432111738615      0.33s
  51     1.58 2.2483849483035847        3 0.07199667493758727 0.16206473238962715      0.31s
  52     1.38 3.787299476355947        1 0.07121553076946738 0.18066048828159217      0.28s
  53     1.81 0.589640030360894        1 0.0732906384676996 0.16198451899750207      0.25s
  54     1.76 2.10360079820986        1 0.06910569541091184 0.19964900650859196      0.21s
  55      1.6 0.26139361737068667        1 0.07247323536605872 0.1693411469122701      0.18s
  56     1.56 0.9540185019439613        1 0.07016262665082564 0.19013662534936782      0.14s
  57     1.53 0.312876232459821        1 0.07195193905049765 0.17403281375231955      0.10s
  58     1.43 0.7530927451951505        1 0.07010441165584894 0.19066056030415812      0.05s
  59     1.68 0.6303574639101992        1 0.07352138162118226 0.15990783061615826      0.00s
Final Fitness:  0.014525312274947999
    |    Population Average   |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    46.62 354.6006580055507        7 0.0662605438972988 0.12283882757511086      7.31s
   1    12.72 2.6385180304819666       15 0.06457803376425761 0.11524246363135546      6.17s
   2     6.16 0.41036462870401663        7 0.05794748089451115 0.16873068525150745      4.96s
   3     3.68 0.27835569489543294        3 0.06215652424000045 0.159775004490796      4.09s
   4     2.14 0.3784145705534502        3 0.06248486686687075 0.15681992084896335      3.45s
   5     1.74 0.2424701761317975        1 0.05839963139810005 0.19549593929852566      2.97s
   6     1.41 0.3819939900766427        1 0.06309308429588806 0.1532548632184337      2.59s
   7     1.51 1.0691113837532444        1 0.060359857248195516 0.1778539066476664      2.28s
   8     1.46 0.5263717220761361        1 0.06120007917737432 0.17029190928505733      2.14s
   9     1.34 0.15660620277744353        1 0.06371142640409766 0.14768978424454723      1.94s
  10     1.98 0.27931061778742794        1 0.06229515974693337 0.16043618415902577      1.75s
  11     1.56 0.2938264055935588        1 0.06161849771801421 0.1665261424192983      1.55s
  12      1.5 2.436941473168094        1 0.06257311269926974 0.15793460758799857      1.33s
  13     1.51 0.3765938353543513        1 0.05911719419847377 0.18903787409516223      1.11s
  14     1.64 0.7069770111822271        1 0.061759467288767085 0.16525741628252244      0.94s
  15     1.58 0.6655172737567382        1 0.05933788442239802 0.18705166207984403      0.75s
  16      1.7 8.193244822731087        1 0.062034645302805384 0.16278081415617773      0.55s
  17     1.42 0.35959018457931713        1 0.06365134442224193 0.14823052208124884      0.36s
  18     2.24 0.49524010956318193        1 0.059869111045624854 0.1822706224708025      0.18s
  19     1.36 0.15792584082228892        1 0.06223955092614987 0.1609366635460774      0.00s
  20      1.2 0.15743701573919305        1 0.0813863709579315 0.17424224348814316      0.09s
  21      1.8 0.4211157608233613        1 0.08102659031146531 0.1774802693063388      0.19s
  22     1.84 1.2926790979850973        7 0.07898042892125366 0.16867680344680228      0.26s
  23     1.47 0.22257425699892572        1 0.07879182126580082 0.19759319071731907      0.31s
  24     1.52 0.5903122929231635        1 0.07933871357906826 0.19267115989791217      0.35s
  25     1.31 0.2334605003439537        1 0.08005869644481807 0.186191314106164      0.37s
  26      1.6 0.48764670966455315        1 0.08022267640616876 0.18471549445400778      0.39s
  27     1.55 0.3078860959304376        3 0.08070640603347845 0.1531430094367792      0.44s
  28     1.59 0.5215316530384111        1 0.08132247924350906 0.1748172689179449      0.45s
  29     1.27 0.5655275960300166        1 0.07959348258729729 0.19037823882385108      0.44s
