    |    Population Average   |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    37.62 8214.921435779392       31 0.09110031697295355 0.5049546933160125      5.84s
   1    11.68 272.5541042165578        7 0.07801232938838083 0.15814660181001544      5.05s
   2     4.58 0.48102491280121457        7 0.07992422573178248 0.19171908703883322      5.08s
   3      2.5 0.2989235479501399        3 0.08857339455596461 0.20003661352939356      4.21s
   4     1.63 0.33953845712697583        1 0.09186797851810374 0.23547510405399813      3.76s
   5     1.64 0.7525486443451865        9 0.0913210910987283 0.16964269572236784      3.21s
   6     1.66 0.5307612593754867        3 0.08883720214442575 0.1404184583705555      2.81s
   7     1.52 0.20111866715134788        1 0.09123893477967207 0.24113649769988335      2.46s
   8     1.48 0.2683262131995511        7 0.08289734477964526 0.08174120874476229      2.22s
   9     1.61 0.25633604473866795        1 0.09255195110404042 0.22931935078056814      2.04s
  10     1.56 0.3028775609974585        1 0.09055352311000638 0.2473052027268745      1.90s
  11     1.46 0.41591802335697325        1 0.0904917005410167 0.17064926670773223      1.69s
  12     1.56 0.32524484545013344        1 0.08869920429858347 0.1867817328896313      1.43s
  13     1.86 78.33048898301205        1 0.08845875749543589 0.18894575411795964      1.20s
  14     1.23 0.20676036329871322        1 0.0849569429144378 0.22046208534694245      0.97s
  15     1.46 0.23384101482137232        1 0.08656856017811926 0.20595752997380934      0.76s
  16     1.57 0.33507857980155464        1 0.08671484011049911 0.20464101058239054      0.57s
  17      1.5 0.2017915957224781        1 0.08503873486385499 0.21972595780218757      0.38s
  18     1.56 0.25637784406662767        1 0.0835089190523657 0.23349430010559125      0.19s
  19     1.82 0.5139142116256366        1 0.08474924092899706 0.22233140321590894      0.00s
  20     1.25 0.5001762297980341        3 0.0995009632592964 0.17422715424361332      0.12s
  21     1.51 0.28969770450132465        1 0.10482933132272593 0.2319371176010837      0.28s
  22      1.5 0.27725784006522713        1 0.10347038332000855 0.24416764962554022      0.38s
  23     1.42 0.3040816366746831        1 0.10609650815923967 0.22053252607246016      0.42s
  24     1.62 0.7618980854901186        1 0.10541072674948726 0.22670455876023177      0.47s
  25     1.38 0.3194184842899457        1 0.10376868121465987 0.24148296857367826      0.50s
  26      1.6 0.6586648085843473        1 0.10347920560214105 0.2440882490863477      0.55s
  27     1.47 0.2877779297009308        1 0.1056992190887056 0.2241081277072668      0.54s
  28     1.52 0.8755945503733636        1 0.1036214743148371 0.2428078306720832      0.53s
  29     1.44 0.18432504811408448        1 0.1065262892088488 0.21666449662597811      0.51s
  30      1.7 0.23582166959398632        1 0.10426563454294155 0.2370103886191431      0.48s
  31     1.62 0.2602158319194884        1 0.10216171035776511 0.2559457062857311      0.45s
  32     1.38 0.7045350190198121        1 0.10384765092719804 0.2407722411608348      0.41s
  33     1.58 0.45400364391084463        1 0.10247857697592945 0.25309390672225207      0.36s
  34     1.31 0.6830629780677536        1 0.10259745381152413 0.25202401520189993      0.31s
  35      1.8 0.22096173948989076        1 0.10305802813059164 0.24787884633029245      0.26s
  36     1.38 0.30992943658836425        1 0.10456745758204389 0.23429398126722212      0.21s
  37     1.48 95.41591176956562        1 0.09689313286544671 0.2518082320439178      0.15s
  38      1.3 0.2130438457231959        1 0.10176668240222424 0.20794628621292002      0.08s
  39     1.25 2.241399691802571        1 0.09522285292497788 0.26684075150813713      0.00s
  40     1.82 0.3120055867058334        1 0.078566031514589 0.19647448489255742      0.10s
  41     1.59 0.3987288188458224        1 0.07919337259808315 0.1908284151411101      0.19s
  42     1.86 2.3157245733123433        1 0.07690090564167426 0.2114606177487901      0.23s
  43     1.26 0.15278273366135509        1 0.07853464772639636 0.19675693898629118      0.27s
  44     1.61 1.1223693497161065        1 0.07779899215142592 0.20337783916102514      0.35s
  45     1.61 0.19618865975529098        1 0.07845903977982586 0.19743741050542576      0.37s
  46     1.42 0.22643458744531364        1 0.07780914134173729 0.20328649644822275      0.37s
  47     1.46 0.22687461006380452        1 0.07863971050731679 0.19581137395800738      0.37s
  48     1.32 0.3653797530445948        1 0.07894592013557977 0.19305548730364058      0.37s
  49     1.46 0.16046292668058398        1 0.0803330642881028 0.18057118993093318      0.38s
  50     1.65 0.2422510779244206        1 0.07786709108768265 0.20276494873471454      0.37s
  51     1.47 0.24461979505321682        1 0.07830622957375871 0.19881270236003012      0.35s
  52     1.42 0.548539916237623        1 0.0785397005365293 0.19671146369509482      0.33s
  53     1.29 0.3094736719117785        1 0.07944247056470519 0.18858653344151166      0.29s
  54     1.36 0.3511341658940876        1 0.07708988088985398 0.20975984051517255      0.25s
  55     1.67 0.2822674641521732        1 0.07699623209403751 0.21060267967752086      0.21s
  56     1.77 0.4101099362276733        1 0.07534510880539881 0.2254627892752692      0.16s
  57     1.43 0.44351312142432164        1 0.079594117151846 0.18722171415724442      0.11s
  58     1.44 0.22748146402789754        1 0.07779899215142592 0.20337783916102514      0.06s
  59     1.76 0.2935004698705101        1 0.07862681846266281 0.19592740235989303      0.00s
Final Fitness:  0.01774499728165189
    |    Population Average   |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    37.62 83.41380913047324       31 0.10335669379998057 0.1917036738621531      6.02s
   1    11.68 0.7371193392763388        3 0.09874760297883076 0.2040082559936124      5.10s
   2     4.77 0.3764897229874592        3 0.09708080107623548 0.2190094731169697      4.34s
   3     2.45 0.22772149673608807        3 0.09517702031597425 0.24242620705789902      4.09s
   4     1.63  0.5017387726515        1 0.09386648606287307 0.24344690868780958      3.50s
   5     1.64 0.5460159271566306        1 0.09564743317718802 0.22741838465897501      3.08s
   6     1.66 0.38405509559675705        1 0.09667363571245506 0.21818256184157175      2.70s
   7     1.52 0.1821623524157681        1 0.09429322164299893 0.23960628846667686      2.37s
   8     1.48 0.21522357120431215        1 0.09605241157700968 0.22377357906057996      2.07s
   9     1.61 0.22766765719298288        1 0.09706218947619186 0.21468557796794063      1.80s
  10     1.56 0.21620806834902206        1 0.09312145564009887 0.2501521824927775      1.57s
  11     1.46 0.43156517577005        1 0.09696787007263802 0.21553445259992512      1.35s
  12     1.56 0.23110789458476394        1 0.09506684173123235 0.23264370767257608      1.16s
  13     1.86 92.55839023494757        1 0.09509525736545925 0.232387966964534      0.98s
  14     1.23 0.1716204466304432        1 0.09437597149915589 0.23886153976126434      0.83s
  15     1.46 0.3799834464634019        1 0.0937975807980663 0.2440670560710705      0.67s
  16     1.57 0.27675640119893935        1 0.09343489662752591 0.24733121360593405      0.49s
  17      1.5 0.18916498243487395        1 0.09361106033396066 0.2457457402480212      0.33s
  18     1.56 0.23909269857295384        1 0.09464033958130837 0.23648222702189198      0.17s
  19     1.82 0.2964928431363097        1 0.0924392943310606 0.2562916342741218      0.00s
  20     1.25 0.18157140638286762        1 0.09324118793843701 0.24311911116804255      0.18s
  21     1.51 0.2591462340306945        3 0.08932506518815336 0.14684855269834918      0.36s
  22      1.5 0.2895002218563014        1 0.09297906955731568 0.1686150555289526      0.61s
  23     1.42 0.2160211880653474        1 0.08452885429297634 0.2446669929080067      0.67s
  24     1.62 0.46918112332109324        7 0.08642514247894832 0.1915004302456987      0.78s
  25     1.38 0.2972684430012484        1 0.08787017481474696 0.21459510821207106      0.78s
  26      1.6 1.5986574825230755        1 0.08985237021038235 0.19675534965135255      0.83s
  27     1.47 0.20217785092523857        1 0.08791961404850832 0.2141501551082189      0.86s
  28     1.52 1.0910822968619673        1 0.08518095183995807 0.23879811498517106      0.84s
  29     1.44 0.16603409547662756        1 0.0868575561281148 0.22370867639176062      0.82s
  30      1.7 0.20695964318570426        1 0.08891935942851907 0.20515244668812221      0.75s
  31     1.62 0.2404033872561301        1 0.09048624230423975 0.19105050080663588      0.68s
  32     1.38 0.1557915982043948        1 0.08954160209019528 0.19955226273303622      0.60s
  33     1.58 0.7477150054834023        1 0.0864180954378954 0.2276638226037352      0.52s
  34     1.31 0.6505745623292815        1 0.08674895635141677 0.22468607438204288      0.44s
  35      1.8 0.19639167454061293        1 0.08806793612000753 0.2128152564647259      0.36s
  36     1.38 0.27886686513433045        1 0.08475574039933287 0.19340263961935428      0.27s
  37     1.48 0.8848264990293397        1 0.0850725840052679 0.19055104716593896      0.18s
  38      1.3 0.17970786642559478        1 0.08553724324265653 0.18636911402944134      0.09s
  39     1.25 0.5958344005335183        1 0.08351558804356449 0.20456401082126963      0.00s
  40     1.82 0.284121974364402        1 0.09136015514291576 0.26577304950289027      0.06s
  41     1.59 0.33574361524395757        1 0.0969492793215318 0.21547093189534583      0.12s
  42     1.86 3.364374268326504        1 0.09626082641382237 0.22166700806473086      0.18s
  43     1.26 0.17721628816311166        1 0.09787205660645223 0.207165936331062      0.22s
  44     1.61 6.4685006635669655        1 0.09540569391688537 0.22936320053716375      0.24s
  45     1.61 0.2202468432275603        1 0.09657464979033231 0.21884259767614117      0.28s
  46     1.42 0.2470672792695006        1 0.09486783652628895 0.23420391705253155      0.31s
  47     1.46 0.24083183473747613        1 0.09522626544622008 0.23097805677315147      0.31s
  48     1.32 0.39337219883936164        1 0.09295342108794381 0.25143365599763773      0.31s
  49     1.46 0.18407766056007502        1 0.09632664909070938 0.22107460397274764      0.30s
  50     1.65 0.24403318523725395        1 0.09264093789073653 0.25424600477250325      0.29s
  51     1.47 0.2787064995831376        1 0.09246798659761205 0.2558025664106237      0.27s
  52     1.42 0.5238133926257545        1 0.09596499622733135 0.22432947974314993      0.25s
  53     1.29 0.3184397321914224        1 0.09233379241412584 0.2570103140619994      0.22s
  54     1.36 0.2885467056575504        1 0.09534731312872578  0.2298886276306      0.19s
  55     1.67 0.3198824140954181        1 0.09094050485092589 0.2695499021307991      0.16s
  56     1.77 0.5347739055966305        1 0.09480416558216101 0.23477695554968303      0.13s
  57     1.43 0.37293501403080337        1 0.0958871999203709 0.22502964650579407      0.09s
  58     1.44 0.2210387491382825        1 0.09548848825158052 0.22861805152490744      0.04s
  59     1.76 0.32077199141568025        1 0.09514862617463894 0.23167681021738157      0.00s
Final Fitness:  0.017554155084152413
    |    Population Average   |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    37.62 2786.7004296932373      127 0.09974991288108322 0.19096665870096105      5.75s
   1    11.08 2.867180209443909        7 0.09576926861429995 0.09319643722932883      4.75s
   2     5.02 0.3421827136034709        5 0.08654492048654944 0.22416882323482787      4.06s
   3     3.56 0.4116487578608757        1 0.095040995694556 0.17726748199386713      3.50s
   4     3.04 1.4460600192453708        1 0.09075591537905053 0.2213135945804252      3.07s
   5     1.66 3.623545939230584        1 0.0920850484771589 0.20387100695044108      2.66s
   6     1.66 0.39581402890680367        1 0.09063067904590626 0.2169603318317149      2.34s
   7     1.52 0.20533945910835286        1 0.08938853899798052 0.2336199820100553      2.06s
   8     1.48 0.257688830617745        1 0.09024770673279561 0.22588747239671947      1.81s
   9     1.61 0.25781735117735954        1 0.09172832291293825 0.21256192677543562      1.59s
  10     1.56 0.24583514909343152        1 0.08785814129094732 0.2473935613733541      1.39s
  11     1.46 0.3216175119469051        1 0.08957031017204804 0.2319840414434475      1.20s
  12     1.56 0.36370179817324094        1 0.08826078401168264 0.23828938713972747      1.03s
  13     1.86 109.74819269177547        1 0.09069052759066973 0.21642169492884378      0.87s
  14     1.23 0.19297094927315026        1 0.09045201930754135 0.2240486592240079      0.71s
  15     1.46 0.2722028391871241        1 0.09266302345859474 0.2041496218645273      0.56s
  16     1.57 0.29503760503111        1 0.08925200880118195 0.23484875378124245      0.42s
  17      1.5 0.1825823223826307        1 0.09025707573024781 0.22032276167264092      0.28s
  18     1.56 0.2496568681122158        1 0.0877344789853727 0.24850652212352564      0.14s
  19     1.82 0.3106202608363356        1 0.0908794726684229 0.21472118922906502      0.00s
  20     1.25 0.7095845166463997        1 0.07385648699125374 0.17691253132151957      0.09s
  21     1.51 0.27084720020218855        1 0.07051354912428044 0.20699897212427937      0.18s
  22      1.5 0.22405848467027892        1 0.07166440872904885 0.21690746444856962      0.25s
  23     1.42 0.4581848717111632        1 0.07282017981860538 0.186239295875355      0.30s
  24     1.62 1.385736106896161        1 0.07369260890518749 0.17838743409611593      0.34s
  25     1.38 0.2859134454953022        1 0.07114956677417718 0.20127481327520874      0.37s
  26      1.6 0.4296385101140515        1 0.0723432587622008 0.19053158538299603      0.38s
  27     1.47 0.2218970165652657        1 0.06901640192444065 0.2204732969228374      0.39s
  28     1.52 0.3855340693046712        1 0.07362325627895792 0.17901160773218194      0.39s
  29     1.44 0.15144527349807643        1 0.0702529431962778 0.209344425476303      0.38s
  30      1.7 0.22865028653603597        1 0.07170757858069367 0.19625270701656033      0.37s
  31     1.62 0.26127299603842774        1 0.07063253398409637 0.2059281083859359      0.34s
  32     1.38 0.6122289413880252        1 0.07012460340433259 0.21049948360381004      0.32s
  33     1.58 0.3025573962071595        1 0.07125060784941775 0.20036544359804354      0.29s
  34     1.31 0.6557569310103548        1 0.07221890209882505 0.1916507953533778      0.25s
  35      1.8 0.24736221768130995        1 0.06936587486393016 0.21732804046743187      0.21s
  36     1.38 0.27492893456293954        1 0.06921389847349214 0.218695827981374      0.16s
  37     1.48 45.39149606538453        1 0.07313163453708987 0.18343620340899444      0.11s
  38      1.3 0.1856545644231811        1 0.07205294780661971 0.1931443839832258      0.06s
  39     1.25 0.7251077321689634        1 0.07268730792475714 0.18743514291998892      0.00s
  40     1.82 0.2787529084282413        1 0.07579051512421284 0.17614509219606292      0.05s
  41     1.59 0.2680543205243946        1 0.07382725024550674 0.19381447610441802      0.10s
  42     1.86 1.8576607212558207        1 0.07583496582962157 0.17574503584738446      0.14s
  43     1.26 0.1574898313798002        1 0.07366569177521114 0.19526850233707835      0.17s
  44     1.61 1.7778612404809135        1 0.07344461172278284 0.19725822280893307      0.20s
  45     1.61 0.22589179530301906        1 0.07409421674002561 0.191411777653748      0.22s
  46     1.42 0.22580354875634379        1 0.0756432052616779 0.17747088095887742      0.23s
  47     1.46 0.2039013505349282        1 0.07570023333039792 0.1769576283403974      0.24s
  48     1.32 0.35772639711293835        1 0.07572108137172978 0.1767699959684105      0.24s
  49     1.46 0.16182789106514858        1 0.07292845166882322 0.2019036632945695      0.24s
  50     1.65 0.23943623513974285        3 0.07230032549312804 0.1593318773897604      0.23s
  51     1.47 0.2788535676256775        3 0.06636894309358016 0.026540291440076257      0.22s
  52     1.42 0.6360451699968377        1 0.07444246353403929 0.1882775565076251      0.20s
  53     1.29 0.2301237613042675        7 0.07429913423654749 0.14134259869898533      0.18s
  54     1.36 0.309863340946848        1 0.07233262817548375 0.20726607473462488      0.16s
  55     1.67 0.262270586036971        1 0.07570016813063063 0.176958215138303      0.14s
  56     1.77 0.7616508506461278        1 0.07338955941539754 0.19775369357540074      0.11s
  57     1.43 0.3126837869777202        7 0.0711821018684423 0.08609038288871412      0.08s
  58     1.44 0.22151776766646045        1 0.07248500350641718 0.20589469675622396      0.04s
  59     1.76 0.3836491186733376        1 0.07663123319040491 0.16857862960033454      0.00s
Final Fitness:  0.015655538452000364
    |    Population Average   |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    37.62 1607.2794517463376        7 0.06496373394922138 0.1345101171078077      5.87s
   1    11.06 0.7701278067840402       11 0.0648110412131575 0.10741400914028452      5.32s
   2      5.1 0.36982123074312256        7 0.05636464509031564 0.17524209788019254      4.75s
   3     3.46 0.2568836326461914        3 0.05749076606191708 0.17367038077604913      4.15s
   4     2.78 0.5101646809606983        3 0.05635616517712289 0.18388178873919686      3.86s
   5     1.72 2.989341588560827        3 0.06374337055050341 0.14351924581924463      3.61s
   6     1.66 1.1851578421594455        3 0.0577552765894411 0.16355912927843938      3.21s
   7     1.52 0.19440488162159816        1 0.06160350213772435 0.18162599147617306      2.76s
   8     1.48 0.2815033945853535        1 0.0620246035304024 0.17783607894207065      2.40s
   9     1.61 0.21332140042042455        1 0.06508404976297645 0.15030106284890427      2.11s
  10     1.56 0.41249887162115934        1 0.06354848569124086 0.16412113949452456      1.89s
  11     1.46 0.2873276515601575        1 0.0626698007402106 0.17202930405379685      1.68s
  12     1.56 0.3178164542895051        1 0.06381675758879855 0.16170669241650523      1.43s
  13     1.86 426.77318273804735        1 0.05994171855150185 0.19658204375217556      1.20s
  14     1.23 0.5817742818008282        1 0.06342223271479665 0.16525741628252244      1.00s
  15     1.46 0.3552802005674824        1 0.06058152931192684 0.1908237469083507      0.80s
  16     1.57 0.40659849296048817        1 0.06285916965583346 0.17032498381319106      0.59s
  17      1.5 0.15545607305927794        1 0.06502250002777779 0.15085501046569208      0.39s
  18     1.56 0.284732222416483        1 0.061112755935153674 0.18604270729930916      0.19s
  19     1.82 0.3995753885783114        1 0.06348319581567868 0.16470874837458407      0.00s
  20     1.25 0.35473632230055147       15 0.08362527599404747 0.13125544521319513      0.17s
  21     1.51 0.3399913608560803        3 0.08027785952556322 0.15699992800801627      0.33s
  22      1.5 0.23684770852519718        1 0.0823753201617912 0.186051960519383      0.41s
  23     1.42 0.2745305076596211        1 0.08109296125090941 0.19759319071731907      0.46s
  24     1.62 0.524295491041588        1 0.08163985356417684 0.19267115989791217      0.50s
  25     1.38 0.27436911776285194        1 0.08235983642992664 0.186191314106164      0.51s
  26      1.6 0.38564931764052907       15 0.08203912456732163 0.14114854263219057      0.52s
  27     1.47 0.23473240994754646        1 0.08402876587361516 0.17117094911296737      0.55s
  28     1.52 1.1206684782862109        1 0.08320449869211691 0.17858935374645157      0.54s
  29     1.44 0.14994712663941084        1 0.0814755020359051 0.19415032365235774      0.52s
  30      1.7 0.18936828830856206        1 0.07919597324950156 0.21466608272998966      0.49s
