PCA GP
formula = lambda X: X[:, 0]**2 - X[:, 1]**2 + X[:, 1] - 1
    |    Population Average   |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    46.62  73.561646844872       15 0.45794064423252584 0.5832914875042755     28.28s
   1    12.11 2.2732534282980037        7 0.37893692918293836 0.5132012503244892     22.88s
   2      8.2 1.199192283177446        7 0.37817371139549316 0.5200702104114959     19.76s
   3     6.06 0.9396369646395795        7 0.38028213399020167 0.42934383959468914     17.74s
   4     5.74 0.9382336536739111        7 0.3675312186046419 0.6158526455291579     16.30s
   5     7.14 0.9837011059871148        7 0.3669262113467895 0.621297710849829     16.53s
   6     7.04 1.1911653009775511        7 0.35647760357587505 0.7153351807880591     15.79s
   7     7.15 1.3965400296965695        7 0.36429674944117313 0.6449628680003767     15.24s
   8      7.2 1.217955042578335        7 0.36042988951460586 0.6797646073394822     14.54s
   9     7.14 0.7880549383723919        7 0.36039735334058315 0.608306865441255     13.96s
  10     7.72 0.9650220745528267        7 0.36101621926307986 0.6027370721387847     13.34s
  11     7.31 0.8803215820902736        7 0.3648060986714215 0.5686281574637103     12.95s
  12      7.1 1.1638051771728954        7 0.3558134448469477 0.6495620418839746     12.44s
  13      7.1 1.1288965656197556        7 0.3538160766892009 0.6675383553036957     11.94s
  14     7.47 1.257534982612769        7 0.35773574484939386 0.6322613418619589     11.54s
  15     7.18 1.0124290533721823        7 0.35199260900278834 0.6839495644814089     11.17s
  16     7.42 2.8676333999724566        7 0.3532749569848639 0.6724084326427285     10.91s
  17     7.34 0.9387697021278657        7 0.3556963474130898 0.6506159187886951     10.57s
  18     7.78 1.3633513591438742        7 0.35887422586548623 0.6220150127171276     10.34s
  19     6.96 0.9164679577227018        7 0.3573554785176303 0.6356837388478315     10.52s
  20     7.01 0.8672994363560185        7 0.3593082934443462 0.6181084045073877     10.49s
  21     7.44 0.9712338236039291        7 0.3513172916608369 0.6900274205589714     10.38s
  22     7.38 1.3086542556662042        7 0.3559124155898823 0.6486713051975629     10.19s
  23     7.04 0.8516412230718098        7 0.35200910533728014 0.6838010974709828      9.81s
  24     7.18 1.2649838758427692        7 0.35633616574065924 0.6448575538405703      9.46s
  25     6.96 0.8325047291072795        7 0.3485880682281081 0.7145904314535313      9.10s
  26      7.2 1.1012719571702019        7 0.3414449994363648 0.7788780505792202      8.78s
  27     7.38 0.9037707356645945        7 0.35916432374625057 0.619404131790248      8.43s
  28     7.34 1.1846380208648764        7 0.35378109564421156 0.6678531847085999      8.10s
  29     6.55 1.04122087763586        7 0.3555903395270007 0.6515699897634977      7.81s
  30     7.02 1.2343126166014573        7 0.3569898597333726 0.6389743079061508      7.59s
  31     7.24 0.8743557876930734        7 0.35574812716187454 0.650149901049633      7.30s
  32     6.96 0.9193575236406614        7 0.36456946204821666 0.5707578870725538      7.03s
  33     7.72 0.8822911256961522        7 0.35888490580088644 0.6219188932985253      6.76s
  34     7.02 1.290811926857472        7 0.35926783029421056 0.6184725728586086      6.48s
  35     7.45 2.3737509640164625        7 0.3631906661718708 0.5831670499596672      6.21s
  36     7.27 1.5933076563168123        7 0.35589845015483956 0.6487969941129469      5.93s
  37      6.9 0.9122637129283332        7 0.35812976735090246 0.6287151393483817      5.65s
  38     7.08 2.16999002250693        7 0.34413013976791484 0.7547117875952697      5.36s
  39     7.24 0.863709796531328        7 0.3599832807710004 0.6120335185675002      5.10s
  40     7.44 1.2470088204098926        7 0.3484047076541409 0.7162406766192363      4.82s
  41     7.62 0.9562813193686271        7 0.3548491782870156 0.6582404409233632      4.55s
  42     7.12 1.1133300789956633        7 0.35083560652066664 0.6943625868205038      4.28s
  43     7.01 2.0220426456742273        7 0.3538177035671222 0.6675237134024039      4.02s
  44     7.18 0.8240873604463397        7 0.35626010133658864 0.6455421334772056      3.80s
  45      7.4 1.0083847805387434        7 0.3609336636015036 0.6034800730929714      3.54s
  46     7.35 1.1599342840674245        7 0.3524007949198154 0.6802758912281656      3.31s
  47     7.55 2.819981442841657        7 0.35930914138317244 0.6181007730579522      3.06s
  48     7.06 1.2680240122421054        7 0.3565706898193684 0.6427468371321888      2.79s
  49     7.26 0.9372155259192094        7 0.3588148575465464 0.6225493275875861      2.54s
  50     7.42 0.8216328666062088        7 0.34982504216566107 0.7034576660155544      2.28s
  51     7.23 2.9448410129732014        7 0.3578352709178663 0.6313656072457068      2.02s
  52     7.02 0.8768773676056304        7 0.3465752426546717 0.7327058616144587      1.76s
  53     7.69 1.2386935110804238        7 0.3556722739083932 0.650832580330965      1.51s
  54     7.72 1.7536931606899366        7 0.3597967173681789 0.6137125891928933      1.26s
  55     7.34 0.8174576563332547        7 0.35358254751938273 0.6696401178320596      1.00s
  56      7.1 1.5144748304581015        7 0.353968262603223 0.6661686820774972      0.75s
  57     7.35 1.0755921162278252        7 0.3604416406906514 0.6079082792906408      0.50s
  58     7.08 1.4608249106152922        7 0.35401037875037517 0.6657896367531273      0.25s
  59     7.43 1.0013374103022061        7 0.34968455698454826 0.7047220326455698      0.00s
Final Fitness:  0.25731713201355166
    |    Population Average   |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    46.62 721.4266956088613        7 0.5021232750852646 0.48120530431448816     24.15s
   1    10.56 8.644883237083096       11 0.47370022586284855 0.5244413453400272     18.86s
   2     6.59 1.2168695290748688       11 0.45673635708670907 0.677116164325283     16.66s
   3     3.92 0.921879529562852        3 0.4679187004978921 0.7901139107477774     14.82s
   4     3.06 0.874117483027141        3 0.45173083655763113 0.9406923545405482     13.61s
   5     3.12 0.8203787246960058        1 0.46128989284270744 0.8512298774129275     12.71s
   6     1.99 0.8648515017902018        1 0.4441149966229836 1.0279288550004435     11.80s
   7     1.72 1.166586137057299        1 0.45661495810750957 0.8933042900297075     10.96s
   8     1.46 0.9687683178917077        1 0.45374281348499335 0.919153591632353     10.32s
   9     1.34 0.5996877037858167        1 0.4489367681949946 0.962407999242342      9.75s
  10     1.98 0.8589550465300883        1 0.44779123718674113 0.9727177783166233      9.25s
  11     1.56 0.73252654068706        1 0.4562956136157322 0.8961783904557038      8.80s
  12      1.5 3.262006952923504        1 0.44711887160543357 0.9787690685483916      8.42s
  13     1.51 0.8501706054527994        1 0.43604565985283805 1.0784279743217509      8.06s
  14     1.64 1.70951440034328        1 0.4580499325827823 0.8803895197522529      7.72s
  15     1.58 1.2252215320699118        1 0.44105869171137363 1.0333106875949303      7.44s
  16      1.7 1.7907744924994804        1 0.45091263093551387 0.9446252345776687      7.18s
  17     1.42 0.7429476841712446        1 0.4524080086647959 0.9311668350141306      6.91s
  18     2.24 1.8259276389634023        1 0.4545577101055461 0.9118195220473786      6.73s
  19     1.36 0.5987263558822448        1 0.46188559435334536 0.8458685638171857      6.71s
  20      1.2 0.5615621932652175        1 0.4600054036454366 0.8627902801883645      6.45s
  21      1.8 0.8495389601881544        1 0.4573363659181143 0.8868116197342656      6.23s
  22     1.84 2.393535844481983        1 0.4576801422491943 0.8837176327545452      6.09s
  23     1.47 0.6498931776648027        1 0.46014874129989186 0.8615002412982666      5.91s
  24     1.52 1.0298399505131401        1 0.45505402664886896 0.8988972430080899      5.84s
  25     1.31 0.6697001689482763        1 0.4444650486422298 1.0026534752172254      5.85s
  26      1.6 0.9276084677753501        1 0.4448663561254372 0.9990417078683587      5.63s
  27     1.55 0.7110216300123375        1 0.4440478630329307 0.9979527155515343      5.41s
  28     1.59 0.9620237282384473        1 0.453772332993371 0.9104324859075718      5.23s
  29     1.27 1.1379873750288043        1 0.44347555073841866 1.011558956351525      5.02s
  30      1.4 0.8960584180200906        1 0.43304463965770845 1.1054371560779173      4.83s
  31     1.58 0.7878992901959871        1 0.4564490359137748 0.8863421596239377      4.63s
  32     1.35 0.807691044297791        1 0.45578473994697105 0.8923208233251717      4.43s
  33     2.24 0.7279654662121896        1 0.449032490063124 0.9530910722797943      4.24s
  34     1.36 1.4933910465153566        1 0.4521788300598884 0.924774012308915      4.05s
  35     1.59 2.762881304742155        1 0.459458839157368 0.859253930431599      3.89s
  36     1.78 1.3308848445461638        1 0.4491504679986741 0.9520292708598443      3.78s
  37     1.37 1.1887037282858817        1 0.445488445825513 0.9849874704182938      3.63s
  38      1.6 2.1931816303907383        1 0.4560229282426128 0.8901771286643957      3.50s
  39     1.54 0.5717425019150321        1 0.4538263726843705 0.9099461286885765      3.37s
  40     1.84 1.2020207081060184        1 0.4572068703800557 0.8795216494274101      3.23s
  41      2.1 0.8326318910589984        1 0.4520981361920215 0.9255002571197172      3.05s
  42     1.56 0.8738439287945099        1 0.4544395412638449 0.9044276114733063      2.87s
  43     1.44 3.501378452124212        1 0.4572875258571034 0.87879575013398      2.68s
  44      1.5 0.6673608191976176        1 0.43173373245898067 1.1087798907170847      2.50s
  45      1.6 0.7361148692678011        1 0.45359436517546387 0.912034196268736      2.33s
  46     1.78 1.0891110338799586        1 0.43771230702814357 1.054972719594619      2.15s
  47     1.79 23.322630214370275        1 0.44652035676972335 0.9757002719204003      1.98s
  48      1.4 1.1208082333753884        1 0.44950555348115545 0.9488335015175116      1.81s
  49     1.62 0.7450553091884226        1 0.45620458502830924 0.8885422175931271      1.65s
  50     1.71 0.7130329937316974        1 0.4531191542653526 0.9163110944597377      1.51s
  51     1.58 2.093817927095547        1 0.4372399977622102 1.0592235029880188      1.34s
  52     1.38 1.932307532047032        1 0.46035841181129333 0.8511577765462707      1.17s
  53     1.81 1.0301261308361813        1 0.45284171716865945 0.918808028329976      1.00s
  54     1.76 1.9659865218092802        1 0.44405654359522956 0.9978745904908447      0.83s
  55      1.6 0.6302862283510698        1 0.45663171548767767 0.8846980434588124      0.66s
  56     1.56 1.452307592728684        1 0.4505689972911599 0.9392625072274715      0.49s
  57     1.53 0.7749796087544857        1 0.4547880622265434 0.9012909228090202      0.33s
  58     1.43 1.1022493875417492        1 0.4497506140323258 0.9466279565569781      0.16s
  59     1.68 0.9187748428214567        1 0.4555379734418712 0.8945417218710702      0.00s
Final Fitness:  0.5601782861665031
    |    Population Average   |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    46.62 437.63035217594575       15  0.5563543780259 0.6567749024232402     29.89s
   1    11.28 6.461632972955438        7 0.38383636346869604 0.42915426451392974     22.75s
   2     7.23 1.2792331984870955        9 0.3851389009509703 0.36190068577519     19.27s
   3     6.38 1.030328542368241        7 0.368566104974574 0.5665865909610288     16.94s
   4     5.11 1.0640969875138842        5 0.3668944458350116 0.5791076814848614     15.42s
   5     5.32 1.1124723756248813        5 0.3606245778222801 0.6355364935994448     14.40s
   6     5.16 1.2795531593457492        5 0.35843724902275126 0.6552224527952043     13.43s
   7     5.19 1.8373779064780644        5 0.36181915480774945 0.6247853007302199     12.70s
   8     5.19 1.402563262344775        5 0.3615046332753457 0.6276159945218539     12.08s
   9     5.14 1.0874690629130968        5 0.35909567417470506 0.6492966264276195     11.56s
  10     5.59 1.3369954176333931        5 0.36273777916818983 0.6165176814862564     11.09s
  11     5.26 1.2013961506492772        5 0.3433478796913126 0.7910267767781516     10.66s
  12     5.24 3.434592721447406        5 0.3654461603356658 0.5921422509789732     10.35s
  13     5.25 1.3681873403633364        5 0.36282488791383144 0.6157337027754822     10.08s
  14     5.44 1.8835693191486325        5 0.36300143105196014 0.6141448145323243      9.74s
  15     5.14 1.6664611413856785        5 0.3540417073932918 0.6323564333649075      9.42s
  16     5.43 3.4985816662390166        5 0.36157827701469936 0.6269532008676714      9.13s
  17      5.2 1.297975097972025        5 0.353289103600051 0.6391298675040752      8.85s
  18     5.86 1.896612230778473        5 0.3605551265800816 0.6361615547792313      8.68s
  19     5.09 1.1403366262571815        5 0.35787173100080544 0.5978862208972853      8.46s
  20     5.13 1.1040990067166816        5 0.3533501149518018 0.6385807653383176      8.26s
  21     5.42 1.3297352091811871        5 0.3498306708741751 0.6702557620369588      8.05s
  22     5.54 2.4994990250793694        5 0.3604741421082635 0.5744645209301623      7.96s
  23     5.22 1.1297882530913137        5 0.34795844902809764 0.6871057586516555      7.91s
  24     5.25 1.581314917492124        5 0.3570982831284071 0.6048472517488701      7.74s
  25     5.06 1.1617052512171124        5 0.3534118909615686 0.6380247812504166      7.49s
  26      5.2 1.417055451487996        5 0.3581771559901927 0.5951373959928007      7.28s
  27     5.32 1.2277591126034801        5 0.3566781563784315 0.6086283924986504      7.07s
  28     5.39 1.4231698928516079        5 0.34491029112316407 0.7145391797960573      6.81s
  29     4.88 1.5933005165551954        5 0.35082822849786005 0.6612777434237932      6.60s
  30     5.11 1.435449919982033        5 0.35318063464605065 0.6401060880900782      6.38s
  31      5.4 1.3396736012220296        5 0.3573965587276795 0.6021627713554186      6.17s
  32     5.03 1.3299241834687268        5 0.35635670321979745 0.611521470926356      5.96s
  33     5.84 1.1926626131611164        5 0.35555199336555127 0.6187638596145727      5.75s
  34     5.07 2.2403246959910956        5 0.35297840143431003 0.6419261869957437      5.53s
  35     5.36 4.314149715542147        5 0.3531182900878762 0.640667189113648      5.32s
  36     5.49 1.9135355326459729        5 0.3588266152307809 0.589292262827506      5.09s
  37     4.97 1.720752509709588        5 0.3545375151671994 0.627894163399739      4.85s
  38     5.23 3.252558087321786        5 0.35278807748893154 0.6436391025041506      4.63s
  39     5.19 1.0414007573586503        5 0.35407168927389726 0.6320865964394585      4.43s
  40     5.56 1.5779885366159645        5 0.34616734630861434 0.7032256831270046      4.22s
  41     5.65 1.31894800736239        5 0.35428105243948643 0.6302023279491556      4.00s
  42     5.15 1.2315709399293182        5 0.3544860620186578 0.6283572417366138      3.79s
  43     5.14 3.114397224273253        5 0.3512777962154172 0.6572316339657787      3.56s
  44     5.29 1.1430668466670855        5 0.349990186105371 0.6688201249561949      3.34s
  45     5.38 1.2669517274079913        5 0.3512264339798517 0.6576938940858682      3.11s
  46     5.53 1.5614865239405327        5 0.3488530652590335 0.6790542125732326      2.90s
  47     5.47 23.76803764667433        5 0.3503385108346785 0.665685202392427      2.68s
  48     5.19 1.3544891732397428        5 0.3498979812766397 0.6696499684147765      2.46s
  49     5.24 1.196887910889178        5 0.3535226640224291 0.6370278237026721      2.24s
  50     5.46 1.193218864941707        5 0.3553632469728069 0.6204625771492711      2.03s
  51     5.41 2.7788746407648155        5 0.35597244971562153 0.61497975246394      1.83s
  52     4.99 2.39573537379564        5 0.35051714811988116 0.6640774668256033      1.61s
  53     5.54 1.7451801780599394        5 0.35255619309534764 0.6457260620464053      1.38s
  54     5.66 2.547343490007762        5 0.35297543447423474 0.6419528896364214      1.15s
  55     5.36 1.1316448733108433        5 0.3573305752861983 0.6027566223287493      0.92s
  56     5.12 1.7827033067882425        5 0.35422225271272034 0.6307315254900513      0.70s
  57     5.38 1.2243413327647088        5 0.35291264225404956 0.6425180196180882      0.47s
  58     5.11 1.6017512747722795        5 0.34569315202789785 0.7074934316534526      0.24s
  59     5.38 1.4407257431940268        5 0.3490363733528933 0.6774044397284943      0.00s
Final Fitness:  0.4012278835229315
    |    Population Average   |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    46.62 255.0044148353937       15 0.3730583209211044 0.27588274149066466     48.34s
   1    11.48 4.119224639085058        7 0.23092293596675517 0.23074322185469076     40.67s
   2     8.01 1.187219659819928        7 0.21968683125521113 0.33186816425858706     34.07s
   3     6.36 0.8984855060716629        7 0.21171312179941987 0.40363154936070883     28.28s
   4     6.44 0.847535486436982        7 0.20761908503796037 0.3375880224724655     24.93s
   5     7.24 0.8836213754147871        7 0.20966516298990245 0.31917332090498657     22.44s
   6     7.14 1.193704200583428        7 0.20086619713688034 0.3983640135821855     20.43s
   7     7.17 1.4799615641925703        7 0.20268372264540696 0.38200628400544606     19.15s
   8      7.2 1.2846944664824187        7 0.2045288776934239 0.36539988857329364     17.98s
   9     7.15 0.6850726111476854        7 0.20115401582725964 0.39577364536877185     16.91s
  10     7.72 0.8376010939403088        7 0.19929898394302686 0.41246893232686693     16.05s
  11     7.31 0.8177002611309652        7 0.2051551675805363 0.359763279589282     15.47s
  12      7.1 2.2887787906075756        7 0.19702809771443053 0.4329069083842338     14.82s
  13     7.11 1.0655047071765773        7 0.2039655348975682 0.3704699737359951     14.24s
  14     7.47 0.9914421494451614        7 0.20699153826654795 0.3432359434151773     13.67s
  15     7.18 1.0659660492476521        7 0.2053774969571476 0.35776231519978013     13.30s
  16     7.42 5.125662485347753        7 0.20264914627220718 0.38231747136424427     12.84s
  17     7.34 0.900427511155772        7 0.2042596332186188 0.3678230888465392     12.35s
  18     7.78 1.0682936304298483        7 0.2031997538260408 0.37736200337974135     11.87s
  19     6.96 0.8081179072581938        7 0.20778683067363057 0.3360783117514337     11.44s
  20     7.01 0.8035454495202344        7 0.2055265069301047 0.3564212254431663     11.10s
  21     7.44 0.9466435978647112        7 0.2054950545980321 0.3567042964318195     10.76s
  22     7.38 1.7319462712966336        7 0.20778936168768886 0.3360555326249089     10.36s
  23     7.04 0.7865889029347869        7 0.2064869047897226 0.3477776447066056      9.99s
  24     7.18 1.1910750620389887        7 0.19561571549450624 0.44561834836355274      9.70s
  25     6.96 0.7409760306671518        7 0.19863408441302385 0.4184530280968941      9.38s
  26      7.2 1.0832786530979128        7 0.20464538620772177 0.3643513119446129      9.06s
  27     7.38 0.8956145423413028        7 0.20656582188725478 0.3470673908288157      8.73s
  28     7.34 1.130092546009803        7 0.20231831524383848 0.38529495061956265      8.42s
  29     6.55 1.1256437653860518        7 0.1993343508445838 0.412150630212854      8.26s
  30     7.02 1.1479375362829989        7 0.20673154349256784 0.3455758963809982      8.01s
