PCA GP
formula = lambda X: 0.3 * X[:,0] * np.sin(2*math.pi*X[:,1])
    |    Population Average   |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    46.62 73.1606633270681       15 0.09574691767969155 0.1520584727692846     47.79s
   1    12.47 0.8381198772559483        7 0.09406079326108452 0.13542197273101578     31.85s
   2     5.97 0.4069547103665515       11 0.09431691522575572 0.16179932624293614     25.45s
   3     3.42 0.29050660896908626        3 0.09347483959641346 0.17250717551878744     20.97s
   4     1.56 0.296804502410459        1 0.09700553545620842 0.16008429685600825     17.85s
   5     1.74 0.300290163738701        1 0.0957374007338168 0.17149750935753305     15.79s
   6     1.41 0.3926424588462033        1 0.09493785487073368 0.17869342212528103     14.16s
   7     1.51 0.7608764425353575        1 0.09669842157804666 0.16284832175946418     12.91s
   8     1.46 0.5145671473611659        1 0.09581416435903228 0.1708066367305936     11.95s
   9     1.34 0.1736837298483421        1 0.09599091007610339 0.1692159252769537     11.19s
  10     1.98 0.33554034822267054        1 0.09646276957868541 0.16496918975371555     10.53s
  11     1.56 0.2741328321849257        1 0.0956727210587896 0.17207962643277785      9.94s
  12      1.5 0.542350270276915        1 0.09396733615048385 0.18742809060752955      9.43s
  13     1.51 0.4121089720148533        1 0.09496785579331334 0.17842341382206414      8.97s
  14     1.64 1.0808168306222354        1 0.09601530653541371 0.16899635714316075      8.56s
  15     1.58 0.4296009345787307        1 0.09355805519047007 0.1911116192476534      8.17s
  16      1.7 2.1843207371036755        1 0.0966447812115254 0.16333108505815547      7.85s
  17     1.42 0.3362624267281874        1 0.09619672353724906 0.16736360412664253      7.53s
  18     2.24 0.7600142403709924        1 0.09504043024991506 0.17777024371264857      7.25s
  19     1.36 0.22886427259863296        1 0.09666717635736054 0.16312952874563924      7.04s
  20      1.2 0.16005133186691936        1 0.09412264488403219 0.1860303120055944      6.76s
  21      1.8 0.40762141846872907        1 0.09667704645542802 0.16304069786303182      6.51s
  22     1.84 0.6699744957658557        1 0.09521152958739759 0.17623034967530585      6.26s
  23     1.47 0.23383596846577887        1 0.09521205439462845 0.17622562641022807      6.04s
  24     1.52 0.6243385119475481        1 0.09593150342411594 0.16975058514484065      5.81s
  25     1.31 0.243799234977714        1 0.09577496107884838 0.17115946625224873      5.60s
  26      1.6 0.4623279430494888        1 0.09584275165534646 0.17054935106376598      5.56s
  27     1.55 0.27737618074477727        1 0.09670392696163738 0.16279877330714762      5.51s
  28     1.59 0.5237498847639604        1 0.09582580664621537 0.1707018561459459      5.32s
  29     1.27 0.3755685973357666        1 0.09392092583690134 0.18784578342977207      5.11s
  30      1.4 0.5374683250947516        1 0.09599235633157287 0.16920290897772836      4.92s
  31     1.58 0.26217753189259        1 0.0963090413119189 0.16635274415461399      4.73s
  32     1.35 0.3391311126490749        1 0.09773681055181337 0.1535028209955638      4.53s
  33     2.24 0.2768425335403342        3 0.09203902946317831 0.1854294667179038      4.37s
  34     1.36 0.5524337185647071        1 0.09658013053479866 0.16391294114869617      4.18s
  35     1.59 1.7464020329093635        1 0.09536140815814954 0.17488144253853818      4.01s
  36     1.78 0.9630424095608011        7 0.09717928708283319 0.13916714814100997      3.84s
  37     1.37 0.262507587836108        1 0.09573958774309412 0.17147782627403718      3.79s
  38      1.6 1.465440230455001        1 0.09556055319017173 0.1730891372503387      3.63s
  39     1.54 0.15911743511513618        1 0.09647636284742316 0.1648468503350757      3.47s
  40     1.84 0.6728342743801826        1 0.09481537595813755 0.17979573233864618      3.30s
  41      2.1 0.3521156316660267        1 0.09588411815432198 0.17017705257298635      3.14s
  42     1.56 0.411674370383091        1 0.09503361605396916 0.1778315714761618      2.95s
  43     1.44 1.419992942372877        1 0.09377949305733092 0.18911867844590588      2.76s
  44      1.5 0.2280517415637361        1 0.09593210475059755 0.16974517320650628      2.58s
  45      1.6 0.30627097923035407        1 0.09691601327327637 0.1608899965023968      2.42s
  46     1.78 0.5565935640324674        1 0.09566547222152497 0.1721448659681595      2.27s
  47     1.79 2.2224390569018855        1 0.09410859018298694 0.18615680431500162      2.11s
  48      1.4 0.6585750128214276        1 0.09609607353706899 0.1682694541282632      1.96s
  49     1.62 0.3033418496502652        1 0.09580759593490536 0.17086575254773598      1.80s
  50     1.71 0.23625268834293106        1 0.09584204875788366 0.1705556771409312      1.64s
  51     1.58 2.3262203455843076        1 0.09551064785751613 0.173538285244239      1.48s
  52     1.38 0.24508435217701227        1 0.09684354741313213 0.16154218924369512      1.29s
  53     1.81 0.6179264111881295        1 0.09630488794269108 0.16639012447766435      1.12s
  54     1.76 1.1118165401813735        1 0.09631161753169314 0.16632955817664594      0.95s
  55      1.6 0.20355164223298103        1 0.09755383052007305 0.15514964128122666      0.76s
  56     1.56 0.909700858184311        1 0.09681012128457403 0.16184302440071782      0.57s
  57     1.53 0.40510842137386516        1 0.0945724472635616 0.18198209058982992      0.38s
  58     1.43 0.6877378035966676        1 0.09646849189140208 0.1649176889392653      0.19s
  59     1.68 0.38897674626855716        1 0.09557351980961425 0.172972437675356      0.00s
Final Fitness:  0.01528047259973953
    |    Population Average   |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    46.62 721.1214846688038       15 0.09494311257948211 0.16778779913459965     48.22s
   1    12.54 4.845376227466009       19 0.09423037056950613 0.1390530599739792     32.28s
   2     5.86 0.39868256287862963        7 0.09717643050644638 0.12543303345482518     25.45s
   3     3.71 0.3457258262914923        3 0.09556603502399917 0.16519360991270654     24.65s
   4     2.06 0.37030314656450464        3 0.09763053892720765 0.14661307478383012     22.82s
   5     1.74 0.3056266808266163        1 0.10109223985288038 0.18056067771810178     21.03s
   6     1.41 0.4216594663236299        1 0.10130678780333816 0.17862974616398175     19.17s
   7     1.51 0.7638630926608451        1 0.09926355446476168 0.19701884621117016     17.36s
   8     1.46 0.5659709529592594        1 0.10328299674595075 0.1608438656804685     15.82s
   9     1.34 0.19393798821654123        1 0.10114781500453615 0.18006050135319973     14.62s
  10     1.98 0.46097093539397976        1 0.10152084537107997 0.1767032280543054     14.20s
  11     1.56 0.34239873572308455        1 0.09956250013464 0.1943283351822652     13.52s
  12      1.5 2.8605749628193156        3 0.09841697256713841 0.1395351720244533     12.71s
  13     1.51 0.4435715783542127        7 0.09922041200305552 0.13230421710119936     12.01s
  14     1.64 1.3089199836469634        1 0.1014245200692099 0.17757015577113613     11.33s
  15     1.58 0.8228359812244312        1 0.10135883376841309 0.17816133247830734     10.85s
  16      1.7 1.3833649940797899        1 0.10253485161036056 0.16757717190078003     10.62s
  17     1.42 0.35060035108246823        3 0.09909525540404315 0.13343062649231074     10.50s
  18     2.24 1.4252059578672718        1 0.10194926484789978 0.17284745276292726     10.15s
  19     1.36 0.2026590505228856        7 0.09995442152921903 0.1256981313657279      9.65s
  20      1.2 0.15867715566704343        7 0.09992135670518726 0.12599571478201363      9.20s
  21      1.8 0.44947208320217913       15 0.09998323250604761 0.12543883257427046      8.85s
  22     1.84 2.002774561658563        1 0.09834720306474962 0.1687818401180133      8.64s
  23     1.47 0.2505795408012242        1 0.09648731960222325 0.18552079128075058      8.33s
  24     1.52 0.6261723433215294        1 0.09822018910774664 0.1699249657310401      7.94s
  25     1.31 0.2615773183065757        1 0.09852189032139176 0.167209654808234      7.58s
  26      1.6 0.5217568254521425        1 0.09810877583094764 0.1709276852222311      7.24s
  27     1.55 0.3182834440747723        1 0.09489700574243626 0.19983361601883334      6.92s
  28     1.59 0.5584906513619692        1 0.09902827827434268 0.16265216323167575      6.60s
  29     1.27 0.7320017253044019        1 0.09736863511252639 0.17758895168802233      6.30s
  30      1.4 0.5040125086690922        1 0.09915512002410239 0.16151058748383837      6.01s
  31     1.58 0.3853446690576333        1 0.09828422970860462 0.1693486003233183      5.76s
  32     1.35 0.3912996757616362        1 0.09787263904326732 0.1730529163113538      5.58s
  33     2.24 0.31604404407263326        1 0.0988375676183875 0.16436855913527218      5.40s
  34     1.36 1.0820847717110107        1 0.09708215762829919 0.18016724904606715      5.13s
  35     1.59 2.3570913227534396        1 0.09753364483016656 0.17610386422926072      4.88s
  36     1.78 0.9266215349850578        1 0.0973016818729942 0.17819153084381198      4.63s
  37     1.37 0.7856159276608605        1 0.09416851545410215 0.20639002861384034      4.38s
  38      1.6 1.7910947688371162        1 0.0972956937086852 0.17824542432259297      4.14s
  39     1.54 0.1586433299462283        1 0.09600517902154092 0.1898600565068916      3.91s
  40     1.84 0.7948499126809301        1 0.09925253776415453 0.16063382782336907      3.68s
  41      2.1 0.43347844546828207        1 0.09674823218386229 0.18317257804599918      3.47s
  42     1.56 0.46729008636188896        1 0.0975158360887434 0.1762641429020694      3.30s
  43     1.44 3.101394957817912        1 0.09873718748016423 0.16527198037928167      3.13s
  44      1.5 0.2697959291640259        3 0.09764001926945376 0.14719978333067044      2.96s
  45      1.6 0.33353989881649        1 0.09748181542862325 0.17657032884315063      2.77s
  46     1.78 0.6862979051888831        1 0.09801122435084865 0.171805648543122      2.56s
  47     1.79 22.923049796236015        1 0.09655034433463865 0.18495356868901203      2.38s
  48      1.4 0.7136434790387395        1 0.09713799121342352 0.15516258299582195      2.19s
  49     1.62 0.3343355393522191        1 0.09525408337371664 0.17211775355318368      1.99s
  50     1.71 0.31130901527514543        1 0.095693206340734 0.16816564685002763      1.78s
  51     1.58 1.6949871296721277        1 0.09557378574285771 0.16924043223091415      1.57s
  52     1.38 1.5226573848130625        1 0.09624181633851757 0.1632281568699755      1.39s
  53     1.81 0.6367768797100353        1 0.09587403973565983 0.16653814629569508      1.21s
  54     1.76 1.571483559216191        1 0.0955094162958992 0.16981975725354093      1.01s
  55      1.6 0.22428696896067166        1 0.09419173489517352 0.18167888986007197      0.81s
  56     1.56 1.0481448870925185        1 0.09564250882526544 0.16862192448924462      0.61s
  57     1.53 0.3634835491430385        1 0.09632392654970902 0.16248916496925228      0.40s
  58     1.43 0.6831709637150263        1 0.09604318767197355 0.16501581486887174      0.20s
  59     1.68 0.5151791709931635        1 0.09360991390597463 0.18691527876286196      0.00s
Final Fitness:  0.01634842089085004
    |    Population Average   |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    46.62 437.2291433457001       15 0.086236475356579 0.14001902863478097     37.88s
   1     12.5 2.997280093935729       19 0.08335737315453678 0.0991139036817772     28.10s
   2     6.16 0.39827575797253567        9 0.08466271017706789 0.15418291525038083     22.96s
   3     3.62 0.3558680162437499        3 0.0839365016678726 0.16071879183313856     19.77s
   4     1.62 0.33763217322271283        1 0.08857718841063979 0.14210254766647093     16.90s
   5     1.74 0.2929502673869611        1 0.08546128671604912 0.17014566291778696     14.99s
   6     1.41 0.4108702144058703        1 0.08666995231915894 0.15926767248979845     13.55s
   7     1.51  0.8642031346472        1 0.08822380348248672 0.14528301201984864     12.62s
   8     1.46 0.6089750948628393        1 0.08664152847862526 0.15952348705460162     11.69s
   9     1.34 0.17999252833139598        1 0.08830066890720048 0.14459122319742462     10.92s
  10     1.98 0.40499763768735375        1 0.08699761436699667 0.15631871405925898     10.27s
  11     1.56 0.3081846059608798        1 0.08745751196975787 0.15217963563440814      9.69s
  12      1.5 2.5525107168005907        7 0.08594036140308596 0.14268405421621835      9.23s
  13     1.51 0.424542393067929        1 0.08573613964426549 0.1676719865638395      8.80s
  14     1.64 0.9620925215902387        1 0.08616348369419008 0.16382589011451845      8.41s
  15     1.58 0.796798210691909        1 0.08680892986257992 0.15801687459900976      8.05s
  16      1.7 2.555660353468187        1 0.08694037227082702 0.15683389292478583      7.71s
  17     1.42 0.3366168829340722        1 0.08435982657619594 0.1800588041764656      7.39s
  18     2.24 0.9851015789399363        1 0.08691561853307368 0.15705667656456582      7.12s
  19     1.36 0.20353324323199476        1 0.08601210801511977 0.16518827122615107      6.84s
  20      1.2 0.1471527802696691        1 0.08697460252374727 0.15652582064850365      6.56s
  21      1.8 0.4719080165021664        1 0.08789596864645596 0.14823352554412536      6.33s
  22     1.84 1.6330468363396622        1 0.08531364063140677 0.14485564190294636      6.10s
  23     1.47 0.2496458709300658        1 0.08508858493397824 0.17349997895642488      5.88s
  24     1.52 0.6375607552777591        1 0.08399949548191007 0.15668294824841658      5.66s
  25     1.31 0.24774389157458376        1 0.08230454941567993 0.171937462844488      5.45s
  26      1.6 0.5409542616527108        1 0.08430067737474845 0.1539723112128713      5.31s
  27     1.55 0.30405189022559526        1 0.08391966890671378 0.1574013874251832      5.11s
  28     1.59 0.5475021910718971        1 0.08135828077970857 0.18045388056823017      4.92s
  29     1.27 0.7381295569220316        1 0.08490388657490243 0.1485434284114855      4.73s
  30      1.4 0.5283040581681429        1 0.08482100163496424 0.14928939287092893      4.55s
  31     1.58 0.40211029979081586        1 0.08313128225871855 0.16449686725714038      4.42s
  32     1.35 0.47719785174854706        1 0.08353019127816495 0.16090668608212266      4.26s
  33     2.24 0.3109769614530043        1 0.08485311990157804 0.1490003284714048      4.11s
  34     1.36 1.2708364755296673        1 0.08440788613669355 0.1530074323553653      3.92s
  35     1.59 3.401332388987999        1 0.08467137509921523 0.1506360316926703      3.75s
  36     1.78 0.9716554564824684        1 0.08320047833731513 0.16387410254977117      3.58s
  37     1.37 0.7926928464598092        1 0.08429476400752313 0.1540255315178992      3.40s
  38      1.6 2.3393452894612854        1 0.08443331941242972 0.15277853287373966      3.23s
  39     1.54 0.14578279190677834        1 0.0850560675502992 0.1471737996329146      3.07s
  40     1.84 0.6627118802162885        1 0.08189356339748982 0.17563633700819872      2.90s
  41      2.1 0.4066005447880269        1 0.08330756444637534 0.1629103275682292      2.75s
  42     1.56 0.3310413611418456        1 0.08400345075448966 0.15664735079520034      2.60s
  43     1.44 2.2058898901912296        1 0.08542003332481928 0.1438981076622338      2.43s
  44      1.5 0.2607132268668326        1 0.0852186931739357 0.145710169020186      2.27s
  45      1.6 0.3341720770811641        1 0.08389535225039679 0.15762023733203614      2.12s
  46     1.78 0.6855417391998481        1 0.08468947512579979 0.1504731314534092      1.96s
  47     1.79 22.881390940261635        1 0.0849928196927596 0.14774303035077088      1.81s
  48      1.4 0.5026456585403314        1 0.08263046341692473 0.16900423683328458      1.65s
  49     1.62 0.3456098182308391        1 0.08345845101089144 0.1615523484875844      1.50s
  50     1.71 0.3193236609520417        1 0.08368653934706875 0.15073600673241352      1.35s
  51     1.58 1.8667182664077289        1 0.08426482621065332 0.15429497168972753      1.19s
  52     1.38 1.4628575860874777        1 0.08351368653325995 0.15229168205669272      1.04s
  53     1.81 0.7901297068251434        1 0.08290989972286049 0.1577257633502877      0.89s
  54     1.76 1.6218879672804751        1 0.08229752865450214 0.1632371029655129      0.74s
  55      1.6 0.21709424147558834        1 0.08297317640850149 0.15715627317951875      0.59s
  56     1.56 0.8833860330632899        1 0.08069249773866204 0.17768238120807398      0.44s
  57     1.53 0.3324494488666514        1 0.08378175574611278 0.14987905914101715      0.30s
  58     1.43 0.7351862828254663        1 0.08253056639981562 0.1611397632576915      0.15s
  59     1.68 0.5324560666870055        1 0.0831757043041461 0.15533352211871723      0.00s
Final Fitness:  0.014525312274947999
    |    Population Average   |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    46.62 254.609243690721        7 0.07393215888151546 0.09882543681740182     31.43s
   1    12.54 1.7236418695482305       21 0.07309004964334555 0.11124813619145607     23.50s
   2     6.16 0.36235407150825055        7 0.07205873841718737 0.1311686492860353     20.02s
   3     3.66 0.3038730345554788        3 0.07306899070980556 0.12207637865247147     17.52s
   4     1.75 0.3144187304327216        3 0.072741156014384 0.12502689091126562     15.38s
   5     1.74 0.26679702552516704        1 0.0748144015846605 0.13641871157097094     13.88s
   6     1.41 0.38396200445739453        1 0.07581802644305188 0.12738608784544844     12.85s
   7     1.51 0.9277891394229263        1 0.07362163092315684 0.14715364752450397     11.98s
   8     1.46 0.6166604251579829        1 0.07430766399501848 0.1409793498777491     11.27s
   9     1.34 0.15916034212939015        1 0.07592140613239724 0.12645567064134033     10.68s
  10     1.98 0.2845102098471149        3 0.07494291095386246 0.10521109645595933     10.12s
  11     1.56 0.29113131736473313        1 0.07502177629477529 0.13455233917993784      9.56s
  12      1.5 1.7422821655818543        3 0.07521010031614728 0.10280639219539604      9.07s
  13     1.51 0.3965704972177568        1 0.07549646055110472 0.13028018087297297      8.63s
  14     1.64 0.8255705520666302        1 0.07497744706897524 0.13495130221213833      8.26s
  15     1.58 0.5640502025299133        1 0.07522864938976147 0.13269048132506225      7.90s
  16      1.7 4.486726299878496        1 0.0742797533125709 0.14123054601977728      7.60s
  17     1.42 0.37927741051486885        1 0.07520969196510707 0.13286109814695182      7.31s
  18     2.24 0.5399007460960625        1 0.07542505382536098 0.1309228414046666      7.08s
  19     1.36 0.16801708344945787        1 0.07483799376758427 0.13620638192465698      6.80s
  20      1.2 0.14366360598204786        1 0.0733807370794232 0.14932169211810656      6.52s
  21      1.8 0.45850536307671175        1 0.07511401311019116 0.13372220784119515      6.29s
  22     1.84 1.118918914982599        7 0.07421332207780888 0.11177739634044169      6.06s
  23     1.47 0.24261919882754607        1 0.07490648037012926 0.1355900025017521      5.84s
  24     1.52 0.6267875781173468        1 0.07485751190523952 0.1360307186857597      5.66s
  25     1.31 0.2313076373816201        7 0.07506678289266741 0.10409624900671487      5.48s
  26      1.6 0.4904579209858385        3 0.07508205228900477 0.10395882443967852      5.30s
  27     1.55 0.34259340594670157        1 0.07493944502835638 0.13529332057770807      5.19s
  28     1.59 0.5173941833358475        1 0.07544996393726747 0.1306986503975082      5.05s
  29     1.27 0.5092234898187094        1 0.07540750713679187 0.1310807616017886      4.86s
