    |    Population Average   |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    46.62 73.30242472105644        7 0.4067121658967945 0.5743944822828112      1.22m
   1    10.09 1.3540861964291895        7 0.37853393310062855 0.6596926118143905     54.57s
   2     6.92 0.6955432169063013       11 0.35725604716939663 0.5394746525476586     48.02s
   3     4.92 0.689904950541663       11 0.33866725805185005 0.7067737546055781     44.64s
   4     3.32 0.6910741766773576        3 0.367950778232218 0.8849414568019403     40.10s
   5     3.63 0.7112008065503723        3 0.37661028290267146 0.8070059147678594     38.11s
   6     3.26 0.805303768255796        3 0.3705915240950353 0.8611747440365848     37.20s
   7     3.38 1.1528925624091446        3 0.3794358324334501 0.7815759689908512     35.64s
   8     3.37 0.8969356497469702        3 0.3671435197954064 0.8922067827332455     34.72s
   9     3.24 0.5657917013895762        3 0.3703064570469597 0.8637403474692649     33.73s
  10     3.75 0.7413026587301025        3 0.37969816988522603 0.7792149319248676     32.33s
  11     3.35 0.6873742463968441        3 0.3643193599578397 0.9176242212713451     30.91s
  12      3.4 0.9385919354303343       17 0.3597232952091218 0.3829230883000217     29.76s
  13      3.3 0.8016207538562833        3 0.37868556690912075 0.7883283587098157     28.65s
  14     3.48 1.499604177540782        3 0.3775523204843548 0.7985275765327099     27.68s
  15     3.31 0.8417259687427868        3 0.3655944234286642 0.9061486500339249     27.09s
  16     3.47 2.5872834283237256        3 0.37649963712741574 0.8080017267451614     26.06s
  17     3.21 0.7292480603589003        3 0.37922859814085885 0.7834410776241735     25.20s
  18     4.08 1.1633127880617256        3 0.3654178664561889 0.9077376627862024     24.31s
  19      3.2 0.6525065139987686        3 0.36980974439262027 0.8682107613583199     23.42s
  20      3.1 0.5745366908894356        3 0.3855182734397311 0.7268339999343221     22.58s
  21     3.54 0.8169859089798642        3 0.37785229408204407 0.7958278141535056     21.84s
  22      3.7 1.0804085012610936        3 0.3803957001114182 0.7729371598891387     20.97s
  23     3.29 0.6487087470709213        3 0.37311033930540644 0.8385054071432446     20.23s
  24     3.38 1.039921789958069        3 0.3671615279014282 0.8920447097790493     19.53s
  25     3.15 0.6452984034391447        3 0.37789303283156966 0.7954611654077755     18.87s
  26     3.41 0.8545791942653345        3 0.3754246414961785 0.817676687426296     18.18s
  27     3.37 0.6986439457958318        3 0.37847783345923575 0.7901979597587809     17.51s
  28      3.4 0.9296127934720892        5 0.3811325545928886 0.5589440790889358     16.92s
  29     3.16 0.7784654095317969        3 0.3740957304608507 0.8296368867442466     16.41s
  30     3.28 0.9473675765905182        3 0.37061868170250134 0.8609303255693903     15.79s
  31     3.38 0.6598922425139925        3 0.3749932077971649 0.8215595907174188     15.22s
  32     3.16 0.7508499795573264        3 0.38222622106782145 0.7564624712815092     14.60s
  33     3.97 0.6677846093461324        3 0.3749168734567434 0.8222465997812115     14.07s
  34     3.26 0.9669273664112131        3 0.3642543414419063 0.9182093879147454     13.59s
  35     3.43 2.159894556415835        3 0.3702614490477365 0.8641454194622744     13.12s
  36     3.64 1.3732370801158982        3 0.3797617057983363 0.7786431087068763     12.71s
  37     3.17 0.6582404677451218        3 0.3754875338285342 0.8171106564350946     12.53s
  38     3.34 1.8624964499469692        3 0.3725052371604829 0.8439513264475563     11.94s
  39     3.41 0.5733243847541525        3 0.3811220404025268 0.7664000972691613     11.41s
  40      3.7 1.0672668353685273        3 0.378289856562533 0.791889751829106     10.82s
  41     3.84 0.7386672086695166        3 0.37292221667652536 0.8401985108031743     10.20s
  42     3.32 0.8157033693531719        3 0.3794691238946407 0.7812763458401357      9.59s
  43     3.22 1.824741063820722        3 0.36541589653993173 0.9077553920325173      8.97s
  44     3.35 0.6394663468640186        3 0.3805359871130009 0.7716745768748944      8.38s
  45     3.44 0.7037781435233278        3 0.3768107435969431 0.7781224989028707      7.80s
  46     3.66 0.9573699557054273        3 0.3741590521466096 0.8290669915724159      7.25s
  47     3.62 2.6163975820518677        3 0.3707133141249679 0.8600786337671913      6.68s
  48     3.26 1.059014656302477        3 0.3775239386206551 0.7987830133060063      6.11s
  49     3.46 0.7001280801949702        3 0.3642566127007268 0.8911096769688173      5.55s
  50     3.55 0.6392152128651833        3 0.368033623335457 0.8841958508727891      4.99s
  51     3.44 2.7328489412061727        3 0.37164609381613745 0.8246043469301219      4.43s
  52     3.11 0.6558777806015115        3 0.3638285312636569 0.8949624099024472      3.88s
  53     3.68 1.0211988826334837        3 0.3766634041765208 0.7794485536866717      3.33s
  54      3.7 1.5113466320312126        3 0.3653625785176803 0.8811559846162363      2.78s
  55     3.46 0.5922986661064926        3 0.36941191227211545 0.8447119808263196      2.22s
  56     3.31 1.3147711501380297        3 0.3739549387162124 0.8038247428294473      1.66s
  57     3.38 0.8027874071118046        3 0.37147075768311777 0.826182372127299      1.11s
  58     3.28 1.0837157814586862        3 0.3680366203726774 0.857089607921262      0.55s
  59     3.53 0.7809116232580238        3 0.3751488924853832 0.79307915890691      0.00s
Final Fitness:  0.8463096517624832
    |    Population Average   |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    46.62 721.3423211475423       31 0.3566643772845763 0.5253278500560273      1.35m
   1    13.68 5.806207396749535       13 0.34485372010394566 0.40761605243440374      1.13m
   2     6.68 0.9286101677135774       15 0.34282941331714006 0.3235022674944748     58.03s
   3     4.46 0.6380073938748346        7 0.33047175203249873 0.4492673261568749     53.01s
   4     4.69 0.6862371839623261        5 0.32695318001936496 0.56872091319563     49.53s
   5     5.46 0.6420345531039265        5 0.32512877980533833 0.5851405151218694     47.45s
   6     5.11 0.754317680349667       19 0.32956488120586414 0.32294461630636323     44.74s
   7     5.24 1.1090535270922357        5 0.32955819308081125 0.5452757956426129     42.09s
   8     5.26 0.8923036849661576       33 0.3249708784944502 0.269252191414893     39.91s
   9     5.12 0.5359102704508412        5 0.33097175803206735 0.5325537110813082     38.35s
  10      5.6 0.8088382632454806        5 0.32386015598456575 0.596558129508823     36.87s
  11     5.26 0.6355481853481025        5 0.3228210417825115 0.6059101573273108     36.16s
  12     5.27 3.1982352700026215        5 0.33366630422967597 0.508302795302831     35.09s
  13     5.18 0.788046160870611        9 0.32475735562709535 0.3132637400436779     34.01s
  14     5.43 0.8870736210416649        5 0.3278276548189741 0.5608506399991476     32.95s
  15     5.14 0.7016134219949521        5 0.3271587381509591 0.5668708900112825     31.58s
  16     5.41 1.7363493710539621        5 0.32074189886016624 0.6246224436284185     30.88s
  17     5.12 0.710945387583389        5 0.33493569480092494 0.49687828016158947     30.03s
  18     5.86 1.7542909456174982        5 0.32771437098106476 0.5618701945403318     29.02s
  19     5.08 0.5643460099744515        5 0.3321643988898206 0.521819943361529     28.17s
  20     5.14 0.49955270847965755        5 0.32599674279607044 0.5773288482052804     27.11s
  21      5.4 0.7786576528670713        7 0.31525382666373386 0.5048422360056769     26.41s
  22     5.52 2.3381270873280458        7 0.32081495202743854 0.4547921077323351     25.55s
  23      5.2 0.6097462425093672        5 0.3266947655897071 0.5710466430625499     24.71s
  24     5.28 0.9853724725205706        5 0.3307334069237817 0.5346988710558785     23.92s
  25     5.03 0.6077737684819532        5 0.3330491934736682 0.5138567921069007     23.12s
  26     5.22 0.8745308689320072        5 0.3264727551326287 0.5730447371762563     22.33s
  27     5.31 0.6359272950590079        7 0.3153784510485942 0.3510630456583734     21.65s
  28     5.38 0.8956728265915658        7 0.3051259074790377 0.44333593778438196     20.93s
  29     4.99 1.072826986855611        7 0.2930183871059228 0.5523036211424156     20.33s
  30      5.6 0.8205633460409293        7 0.3063174881374013 0.43261171185910935     19.74s
  31     6.52 0.719077923937522        7 0.2942831200579122 0.5409210245745112     19.17s
  32     6.72 0.691885306271571        7 0.29727503828581686 0.5139937605233696     18.49s
  33     7.58 0.5835910952948112        7 0.29159984547693973 0.5650704958032634     17.84s
  34      7.0 0.5361535758771813        7 0.2984912191092728 0.5030481331122661     17.18s
  35      7.2 2.6023779392890405        7 0.29292236713199377 0.5531678009077772     16.54s
  36      7.3 0.927089710439359        7 0.28435377447801025 0.6302851347936289     15.91s
  37      6.8 1.025070352665883        7 0.2969421447703493 0.4804824577809734     15.20s
  38     6.86 2.093660058879107        7 0.2974188716917037 0.5126992598703871     14.50s
  39     7.22 0.46090237088680325        7 0.29250470359016595 0.49607816662105947     13.90s
  40     7.44 0.7955329777350778        7 0.29487496870015073 0.4747457806311967     13.25s
  41     7.46 0.614802475409446        7 0.29130500003563253 0.5068754986118607     12.57s
  42     7.02 0.7676787472581492        7 0.290103486456558 0.5176891208235316     11.89s
  43     7.02 1.1229373154348123        7 0.28887645138209406 0.5287324364937068     11.17s
  44      7.1 0.5925894920132546        7 0.29060572565044557 0.5131689680785431     10.49s
  45     7.32 0.536140845755185        7 0.28749049639982616 0.541206031334118      9.78s
  46     7.38 1.0042106376651703        7 0.2896566392913305 0.5217107453105784      9.07s
  47     7.38 23.202847911142886        7 0.2882922617868107 0.5339901428512568      8.40s
  48     7.08 1.0032767243633784        7 0.28754072900138283 0.5407539379201077      7.72s
  49     7.16 0.537159033344001        7 0.27602134867063083 0.6444283608968758      7.06s
  50     7.23 0.5358765970483031        7 0.28747357706434573 0.5413583053534422      6.37s
  51     7.25 2.006394905697076        7 0.29309595523637944 0.49075690180513853      5.67s
  52     6.88 0.4740023836528906        7 0.2888583336099668 0.5288954964428517      4.96s
  53     7.51 0.6682610047812924        7 0.29053992104872517 0.5137612094940268      4.26s
  54     7.64 1.8726856319782414        7 0.27844976842534314 0.6225725831044656      3.54s
  55     7.22 0.4926837420393329        7 0.28908241965936954 0.5268787219982275      2.83s
  56      7.0 1.339981780025669        7 0.290834660489062 0.5111085545309958      2.12s
  57     7.32 0.6333647517783093        7 0.28039204803453077 0.6050920666217765      1.41s
  58      7.0 0.8471101062014844        7 0.283756538869005 0.5748116491115086      0.71s
  59     7.34 0.6698139689947346        7 0.289278976394699 0.5251097113802624      0.00s
Final Fitness:  0.11148100474064272
    |    Population Average   |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    46.62 437.3860925730533        7 0.2524270828225397 0.3167132395679156      1.21m
   1    10.91 3.479072829144564       11 0.21525752090607425 0.29029432043514564      1.03m
   2     7.92 0.6886526391501713       11 0.22657700689210689 0.18841894656085192     53.35s
   3     5.42 0.6548305479409797       11 0.21057417283336252 0.3324444530895511     47.90s
   4     3.32 0.6442148405502321        3 0.22747762587710824 0.5412583520767983     43.03s
   5     3.63 0.6210757749414745        3 0.23295705550911858 0.4919434853887051     39.43s
   6     3.26 0.7356141382456346        3 0.22277994079054364 0.5835375178558795     37.55s
   7     3.38 1.155409846599391        3 0.2316304212917706 0.5038831933448366     36.57s
   8     3.37 0.890936882350879        3 0.23218097823556944 0.49892818085064744     34.76s
   9     3.24 0.47565776688435596        3 0.2376592497483756 0.44962373723539156     33.55s
  10     3.75 0.7221809985383649        3 0.23256820632239136 0.49544312806925045     32.15s
  11     3.35 0.6285622274494377        3 0.2304816468648825 0.5142221631868299     31.03s
  12      3.4 2.8491861100161024       17 0.22787931457145377 0.2530344144482178     29.91s
  13      3.3 0.7191600072486821        3 0.22666446404436322 0.5485768085715031     29.56s
  14     3.48 1.2908223442066038        3 0.2230712964603757 0.5809153168273911     29.59s
  15     3.31 1.1243905921098918        3 0.22963793292092324 0.5218155886824628     28.64s
  16     3.47 2.8717563957014733        3 0.23290472764817569 0.4924144361371912     28.13s
  17     3.21 0.6410358281268026        3 0.2360624091732158 0.4639953024118302     27.20s
  18     4.08 1.3046458282445161        3 0.23477005870759562 0.4756264566024114     26.53s
  19      3.2 0.5410168584963729        3 0.23186391990637836 0.5017817058133671     25.66s
  20      3.1 0.46423448339624485        3 0.23613537861116438 0.4633385774702934     24.74s
  21     3.54 0.802415441767043        3 0.23519017746145512 0.4718453878176763     24.08s
  22      3.7 1.9565314216827994        3 0.23509234102234805 0.47272591576963996     23.22s
  23     3.29 0.5781915778020781        3 0.23209122560187795 0.49973595455387065     22.37s
  24     3.38 0.962129230496425        3 0.22925032008088153 0.5253041042428387     21.59s
  25     3.15 0.5663391273377648        3 0.23052170050573545 0.5138616804191534     20.91s
  26     3.41 0.8435921439086678        3 0.22610223447798028 0.5536368746689502     20.15s
  27     3.37 0.6451271837560891        3 0.23132343997918137 0.50664602515814     19.43s
  28      3.4 0.8652559742061734        3 0.22953454230597542 0.5227461042169932     18.67s
  29     3.12 1.044489604701186        3 0.2350712767612645 0.47291549411939177     17.94s
  30     3.28 0.8562483061134557        3 0.23468393276745067 0.4764015900637166     17.31s
  31     3.38 0.7112697615068387        3 0.23280329345507866 0.4933273438750647     16.59s
  32     3.16 0.8033160439905025        3 0.23098158713590558 0.5097227007476222     15.95s
  33     3.97 0.6129926472491359        3 0.2326734489013969 0.4944959448582002     15.31s
  34     3.26 1.5989921444057262        3 0.2352816496574952 0.47102213805331555     14.70s
  35     3.43 3.730528856852975        3 0.2359677005428699 0.4648476800849432     14.08s
  36     3.64 1.2921876729710664        3 0.23312290481381 0.49045084164648206     13.55s
  37     3.17 1.1007312165136407        3 0.23473715776086934 0.47592256512294834     12.90s
  38     3.34 2.653429240951988        3 0.2292628980342661 0.5251909026623774     12.25s
  39     3.41 0.4751321486303031        3 0.23747635845256723 0.4512697588976673     11.63s
  40      3.7 0.9705560376337676        3 0.23054477031123025  0.5136540521697     11.00s
  41     3.84 0.7019280869612836        3 0.23415796469968292 0.481135302673626     10.46s
  42     3.32 0.6482192186681317        3 0.22718703625261472 0.54387365869724      9.95s
  43     3.22 2.5212203925729635        3 0.2341391183383061 0.4813049199260176      9.42s
  44     3.35 0.5827501331561615        3 0.22854549343124647 0.5316475440895542      8.83s
  45     3.44 0.6460842555520209        3 0.23527172165755061 0.4711114900528169      8.27s
  46     3.66 0.997280331396777        3 0.23265757636359463 0.49463879769842056      7.70s
  47     3.62 23.182240138857125        3 0.231854322587597 0.5018680816823995      7.12s
  48     3.26 0.8124618653083453        3 0.22775924048104504 0.5387238206413673      6.50s
  49     3.46 0.6477458049850346        3 0.2349770244128035 0.4737637652555406      5.89s
  50     3.55 0.6455639121759021        3 0.23931985724600174 0.43467826975675655      5.28s
  51     3.44 2.1840879501010138        3 0.23308064532862552 0.49083117701314266      4.69s
  52     3.11 1.791723832803393        3 0.23344620814368322 0.4875411116776232      4.09s
  53     3.68 1.1060396624018072        3 0.23674536625763037 0.4578486886520989      3.54s
  54      3.7 1.937089913388203        3 0.23555566163283373 0.4685560302752691      2.99s
  55     3.46 0.5181386529016876        3 0.23747845458585085 0.4512508936981147      2.40s
  56     3.31 1.2057789933410674        3 0.23191411835315115 0.5013299197924125      1.80s
  57     3.38 0.6547696969164472        3 0.23318150902134693 0.4899234037786499      1.21s
  58     3.28 1.0488134260271509        3 0.23935256883945313 0.43438386541569424      0.61s
  59     3.53 0.8359311192906932        3 0.2320919605636864 0.4997293398975948      0.00s
Final Fitness:  0.1636885845099851
    |    Population Average   |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    46.62 254.76258051851707        7 0.24533144871716697 0.5201570395523056      1.38m
   1    10.72 2.182528108744751       11 0.25428027628336175 0.26057018089819917      1.09m
   2     7.74 0.6674845580368483       15 0.23210865393778932 0.4601147820083509     58.12s
   3     5.15 0.6073920739029911        3 0.22907982596466714 0.6664216443248042     51.10s
   4     3.32 0.6226403563818245        3 0.23085574264249542 0.65043839422435     46.89s
   5     3.63 0.6045044451496316        3 0.23557536874066476 0.6079617593408259     44.16s
   6     3.26 0.7192244532496929        3 0.22824668775738013 0.6739198881903872     40.86s
   7     3.38 1.233583766163192        3 0.23915841137184196 0.5757143756602306     38.74s
   8     3.37 0.9146616444804113        3 0.23268284437142453 0.6339944786639876     36.38s
   9     3.24 0.46744238549452766        3 0.2404978753428733 0.5636591999209482     35.24s
  10     3.75 0.6116961857974332        3 0.22881494567353702 0.6688055669449752     34.36s
  11     3.35 0.6224455258099778        3 0.2348058125884236 0.614887764710996     32.86s
  12      3.4 2.0533417206941444       17 0.2239495807736484 0.12030391283702076     31.51s
  13      3.3 0.7049477939612145        3 0.23449149343112372 0.617716637126695     30.14s
  14     3.48 1.1662070619910516        3 0.2399116695918911 0.5689350516797888     28.78s
  15     3.31 0.9007989072324503        3 0.23414689118854765 0.6208180573098798     27.57s
  16     3.47 4.812586816670021        3 0.23397511730571222 0.6223640222553987     26.69s
  17     3.21 0.6954370228519321        3 0.24321002707898953 0.5392498342959026     26.04s
  18     4.08 0.8692558726864255        3 0.24035333730942363 0.5649600422219955     25.16s
  19      3.2 0.5175909074903062        3 0.23682714589664772 0.5966957649369792     24.24s
  20      3.1 0.4763512309607759        3 0.237660252451403 0.5891978059441815     23.46s
  21     3.54 0.7980853275072373        3 0.22835735326909118 0.672923898584988     22.73s
  22      3.7 1.452102459008041        3 0.24573855496921218 0.5164930832838986     21.98s
  23     3.29 0.5808928637686122        3 0.24465702717217808 0.5262268334572057     21.43s
  24     3.38 0.9604106932108911        3 0.23442567310766588 0.6183090200378155     20.84s
  25     3.15 0.5574807610816884        3 0.2388875809549674 0.5781518494121017     20.13s
  26     3.41 0.802214278474169        3 0.23947181883101434 0.5728937085276794     19.42s
  27     3.37 0.6910943579727176        3 0.2306050167129015 0.6526949275906949     18.71s
  28      3.4 0.8431946749741548        3 0.22510245751793723 0.7022179603453734     17.91s
  29     3.12 0.8280124600088056        3 0.23881581475591937 0.5787977452035341     17.29s
  30     3.28 0.8483490520905133        3 0.2419265963600804 0.5508007107660845     16.59s
  31     3.38 0.6571692247106106        3 0.22755700655286312 0.6801270190310401     15.94s
