Standard GP
formula = lambda X: X[:, 0]**2 - X[:, 1]**2 + X[:, 1] - 1
    |    Population Average   |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    37.62 3240.640395038094        7 0.6545326193170877 0.6616696381861505     19.51s
   1     10.7 92.47048856168368       33 0.4709350621474633 0.2862887087816357     16.33s
   2     8.14 1.273082989831628        9 0.3569102194188221 0.3925020603803262     14.79s
   3     5.94 0.9222795634594203        9 0.28938466071396307 0.22662414357543156     13.64s
   4     7.12 0.9018641283795599        9 0.27050030819879933 0.39658331621190523     13.04s
   5      7.2 1.4341901879856875       13 0.2544773141806192 0.42613402596172145     12.72s
   6     8.99 1.2355242305923293        9 0.253047676152755 0.5536570046263042     12.38s
   7     9.06 0.7637524505958402       11 0.2545534634939961 0.3196812755892966     12.08s
   8     9.14 0.7732535419639132        9 0.2578874746694214 0.5100988179763065     11.79s
   9     9.14 0.8039480920077847        9 0.25103982172368233 0.4688088847673417     11.55s
  10     8.97 0.8023841562035159        9 0.25074529390902633 0.47145963509924543     11.25s
  11     8.88 0.8299355326486184        9 0.2501265945882167 0.4770279289865327     10.99s
  12     9.23 0.7707543974712153        9 0.24845038728996147 0.4921137946708294     10.78s
  13     9.28 119.80206939764086        9 0.25319904387689196 0.4493758853884548     10.55s
  14     8.81 0.7753362402295599        9 0.25322542322292335 0.44913847127417267     10.35s
  15     8.74 0.8503190571121547        9 0.2545292694952185 0.4374038548235164     10.14s
  16     9.07 0.8873918294570661        9 0.2496610258604738 0.4812180475362185      9.91s
  17     8.99 0.7641408536987788        9 0.2539795564501502 0.442351272229131      9.69s
  18     8.66 0.7886828894906244       11 0.2553369114067439 0.32041573220479685      9.45s
  19     9.21 0.9082937437316565        9 0.25666424944735555 0.41818903525428297      9.23s
  20     9.18 0.8367790219452309        9 0.24465336892327116 0.5262869599710425      9.03s
  21     8.74 0.8568586358489919        9 0.24608158295889404 0.5134330336504362      8.84s
  22     8.85 0.8703144452901868        9 0.24805668687304713 0.49565709842305866      8.62s
  23     8.79 0.8021767839604813        9 0.24764152395766775 0.49939356466147294      8.39s
  24     9.03 1.224226639876774        9 0.24560722856382153 0.5177022232060894      8.25s
  25      8.9 0.8221509289852381        9 0.24803446834374285 0.4958570651867971      8.02s
  26     8.86 1.0700575460756705        9 0.24156524453078035 0.5015347959331452      7.78s
  27     8.99 0.8009354033747164        9 0.2515813758646531 0.4113896139282904      7.70s
  28     9.18 0.7673825896144129        9 0.24462414519312622 0.5265499735423469      7.70s
  29     8.68 0.743720171377787        9 0.23822079594614676 0.5316348331948478      7.54s
  30      9.1 0.8104426388816733        9 0.2414600789684646 0.502481285993987      7.28s
  31     9.12 0.8090956851564678        9 0.24052708904733433 0.5108781952841591      7.00s
  32     8.72 0.8491492407865147        9 0.24801121140498342 0.36858580358166676      6.76s
  33     8.88 1.142321662196139        9 0.24253883953768357 0.4178371503873651      6.65s
  34     8.93 1.0217844941132257        9 0.24142230616581214 0.42788595073420793      6.39s
  35      9.3 0.7920703574499455        9 0.24221244780911086 0.4207746759445195      6.12s
  36     8.72 0.867808491457076        9 0.2433929859459526 0.41014983271294386      5.86s
  37      8.8 12.575404819261998        9 0.23692715801995087 0.46834228404695927      5.63s
  38     8.52 0.7468244255663126        9 0.23450309112203047 0.4901588861282427      5.43s
  39     8.73 2.181133510107252        9 0.23833304249872864 0.4556893237379594      5.18s
  40     9.29 0.8782765174036561        9 0.23249473182152058 0.5082341198328317      4.93s
  41     8.85 0.9008132298462561        9 0.23399959507646959 0.4946903505382907      4.67s
  42     9.24 2.9625889974142052        9 0.22604604464478906 0.5662723044234156      4.41s
  43     8.72 0.752462870997092        9 0.2425513932565707 0.41772416691738073      4.15s
  44      9.1 11.494186448469348        9 0.23963854315906816 0.4439398177949036      3.89s
  45     9.26 0.8470243929848695        9 0.2438731709712739 0.4058281674850522      3.63s
  46     9.05 0.807929080354412        9 0.2368989792456489 0.4685958930156772      3.37s
  47     8.86 0.8168842184414424        9 0.23502279826751682 0.4854815218188658      3.11s
  48     8.76 0.9352228696124314        9 0.2391543046323712 0.4482979645351762      2.87s
  49     8.98 0.7292264208025628        9 0.2365621346676552 0.4716274942176204      2.61s
  50     8.82 0.8085249193255101        9 0.23615442193121872 0.4752969088455483      2.35s
  51     9.04 0.8335125002707798        9 0.23576979488960456 0.4787585522200763      2.09s
  52     8.72 0.9517681148383746        9 0.2433463921239992 0.41056917711052465      1.83s
  53     8.94 0.8740378972615278        9 0.23768701305169043 0.46150358876130343      1.57s
  54     9.08 0.9142986980589017        9 0.23749282721386744 0.46325126130170996      1.31s
  55     9.12 0.8410115434198596        9 0.24134242717843934 0.4286048616205631      1.04s
  56     8.93 4.771369383824732        9 0.24030651740406014 0.437928049589976      0.78s
  57     9.14 0.8325148878643917        9 0.2379998434525066 0.45868811515395774      0.52s
  58      8.9 0.7401749809408906        9 0.236149516071757 0.47534106158070416      0.26s
  59     9.43 0.8291116168675869        9 0.23362288877187376 0.4374455208367312      0.00s
Final Fitness:  0.1583493614822914
    |    Population Average   |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    37.62 916.2544443195977        7 0.5034866507175532 0.5724960165458827     18.96s
   1      9.3 2.9677863308024466       17 0.4354270502971246 0.7056282740966494     15.73s
   2     7.02 1.1312555510204194        5 0.4305657795750091 0.6727014700844801     14.43s
   3     4.43 0.8736975747849623        9 0.27835777481601026 0.32964232752199646     13.08s
   4     3.24 0.9557179487985988        9 0.27709463310763827 0.3410106028973443     12.03s
   5     4.78 1.3031322627847677        9 0.2670564207002866 0.43135451456350876     11.39s
   6     8.62 1.0816927845432693        9 0.26379827823456664 0.4606777967549891     11.18s
   7     9.18 0.7401469193125976        9 0.2638178456219223 0.4605016902687879     11.04s
   8     9.08 0.716524821071326        9 0.26688495636137133 0.34128331028603826     10.89s
   9     9.24 0.7929547458136398        9 0.26618731337276913 0.34756209718345804     10.81s
  10     9.22 0.8148746314670844        9 0.26367201530601164 0.3701997797842755     10.56s
  11     9.12 0.8880776741615903        9 0.2584739410401094 0.4169824481773956     10.35s
  12      9.3 0.8217511527580017        9 0.260146780884736 0.40192688957575645     10.36s
  13     9.36 85.62178109313328        9 0.2528134457222099 0.4679269060384912     10.30s
  14     8.96 0.7256741168823961        9 0.2593682867939463 0.4089333363928637     10.30s
  15     8.96 0.9477437841592695        9 0.26362568757277005 0.3706167293834497     10.41s
  16     9.26 0.8139676891257929        9 0.2626572211645827 0.37933292705713595     10.80s
  17     9.28 0.7575539325749903        9 0.25821126576291104 0.41934652567218095     10.86s
  18     8.72 0.8714207466901268        9 0.25901054835000203 0.41215298238836234     10.55s
  19     9.41 0.8555295667886376        9 0.26273688184560007 0.37861598092797966     10.25s
  20     9.14 0.9246975529780147        9 0.2599260276092084 0.4039136690555043      9.94s
  21      8.9 0.8338928896865312        9 0.2618513520131897 0.386585749419673      9.65s
  22      8.9 0.7919615038171317        9 0.26187768751661894 0.3863487298888096      9.34s
  23     8.87 0.7851923010895188        9 0.262395349854586 0.38277524249819406      9.12s
  24     9.04 1.1303641586623738        9 0.2543090776720274 0.4544662184901343      8.88s
  25     9.07 0.8258313211301015        9 0.2604013071030699 0.39963615361075083      8.64s
  26     8.98 1.1974892450074501        9 0.260453341335611 0.39916784551788104      8.38s
  27     9.19 0.8179223434618543        9 0.25923225021443586 0.41015766560845757      8.09s
  28     9.25 1.0298796231140428        9 0.2576109620437925 0.4247492591442475      7.81s
  29     8.81 0.7394014339712236        9 0.2550090295206686 0.44816665185236276      7.70s
  30     9.14 1.1465714954892607        9 0.25960708960169554 0.4067841111231205      7.45s
  31     9.14 0.8331013938077991        9 0.25752931655426703 0.42656954220106513      7.27s
  32     8.81 0.7066719310488139        9 0.2643738139464479 0.36388359202034953      7.07s
  33     9.12 1.1584516435403007        9 0.259083176057809 0.412584806669187      6.81s
  34     8.97 1.2653762739685768        9 0.25772653235214843 0.42479460002013253      6.54s
  35     9.48 0.768281185557727        9 0.2622424165589329 0.3830661685079844      6.26s
  36     8.74 0.8245757470344262        9 0.2593133884918385 0.4105128947629218      6.00s
  37     8.83 5.061306535612508        9 0.25681097873762143 0.4330345825508754      5.74s
  38     8.77 0.7542302338261755        9 0.2525469838625518 0.47141053642650216      5.47s
  39     8.72 1.594829469402657        9 0.2655376015025845 0.35340950401511967      5.20s
  40     9.36 0.8779469228920758        9 0.2606712549684818 0.39829209647313185      4.94s
  41      9.1 0.9278449141807152        9 0.25737038393190803 0.42691446215120815      4.67s
  42     9.38 2.9855778346918154        9 0.2589499392057375 0.4126984646867429      4.45s
  43      8.9 0.7085014169949804        9 0.26096076187354994 0.3956865343275188      4.19s
  44     9.17 3.761705986083805        9 0.2612382973024391 0.3921032418164286      3.95s
  45     9.44 0.7645679598675994        9 0.25746877772612503 0.4260289180032552      3.70s
  46      9.1 0.8101922236017658        9 0.2563794277764966 0.4358330675499109      3.47s
  47     9.04 0.8083207777792514        9 0.25964938413738786 0.4064034603018892      3.20s
  48     8.78 0.9891232162342039        9 0.2585348493181541 0.3835588767051372      2.93s
  49     9.14 0.7398633437152844        9 0.26081273116917253 0.39701881066691547      2.69s
  50     9.06 0.80024957682359        9 0.25860031903577513 0.3829696492465477      2.43s
  51     9.04 0.8124444211954208        9 0.2549504280431919 0.4158186681797973      2.15s
  52     9.02 1.3410872607635758        9 0.25901678321203625 0.37922147166019826      1.89s
  53     9.06 0.8069765958517208        9 0.2586054313019961 0.3829236388505597      1.66s
  54     9.18 0.862808721741459        9 0.25322691058388025 0.4313303253136018      1.38s
  55     9.13 0.8892696114252278        9 0.25894240277916264 0.3798908955560603      1.12s
  56     9.15 1.2514698429597686        9 0.2562191639974616 0.4044000445913702      0.84s
  57     9.32 0.9639027953981665        9 0.2538835425514731 0.425420637605266      0.56s
  58     8.97 0.7605553789013041        9 0.25413009530601655 0.4232016628143751      0.28s
  59      9.4 0.8298600996840477        9 0.25345588799217855 0.42926952863891743      0.00s
Final Fitness:  0.10051773119449668
    |    Population Average   |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    37.62 1300.855347619554        7 0.5916314599867414 0.9979088754452788     20.59s
   1    10.49 1.5769653378892425       33 0.4257583802618658 0.24605307701934728     17.15s
   2      8.0 1.1443167557166967        7 0.37435694604201025 0.45274695403569587     15.64s
   3     6.06 0.8925522897962171        7 0.31400487921109455 0.30439548345721257     14.49s
   4     4.61 1.2065999557529112        5 0.3108640284183553 0.41867734869849915     13.44s
   5     4.96 1.5610290351724359        7 0.2952714991434368 0.47299590406613246     12.88s
   6     5.24 1.0551899139613767        5 0.2997661204253284 0.5185585206357417     12.36s
   7      4.3 0.7453431808561939        3 0.296289857020843 0.5480409330268444     12.03s
   8      3.4 0.7135013158605292        3 0.29834224053051367 0.5295694814398088     11.41s
   9      3.5 0.72782722907123        3 0.3018248030740849 0.4982264185476675     10.93s
  10     3.34 0.7828542843522592        3 0.3039613624433382 0.47899738422438753     10.56s
  11     3.24 0.8483863194576097        3 0.29703765741668575 0.5413107294642597     10.16s
  12     3.47 0.7917837776328642        3 0.29868815860169495 0.5264562187991765      9.79s
  13     3.66 77.64661322342735        3 0.30022566421340147 0.5126186682938179      9.47s
  14     3.08 0.7857129701226748        3 0.3004673613888208 0.5104433937150441      9.39s
  15     3.18 0.8112576304685166        3 0.29912931030312434 0.5224858534863122      9.36s
  16     3.38 1.0247048431261252        3 0.295882224444205 0.5517096262165864      9.10s
  17     3.29 0.6684877776423918        3 0.30153245564813386 0.5008575453812263      8.80s
  18      3.4 0.7953967140502829        3 0.302462360844245 0.49248839861622634      8.51s
  19     3.65 0.9279492901078521        3 0.3017340069983251 0.49904358322950576      8.24s
  20     3.14 1.598402177550502        3 0.28950300301819865 0.6091226190506435      7.97s
  21     3.28 0.8369866137123654        3 0.29938460621993285 0.5201881902350354      7.72s
  22     3.35 0.7900960096183113        3 0.3011810126610712 0.5040205322647905      7.76s
  23     3.26 0.9296134733975677        3 0.2989978244714679 0.52366922597122      7.68s
  24     3.48 1.4418682175442368        3 0.29345419330719363 0.5735619064496886      7.44s
  25      3.2 0.8325476263763408        3 0.2917235055860743 0.5891380959397625      7.35s
  26      3.4 1.033849443140991        3 0.29833278917679784 0.5296545436232504      7.23s
  27     3.28 0.7870742688794894        3 0.30135997979091667 0.5024098280961807      6.95s
  28     3.36 0.9865263677039755        3 0.29819807210824584 0.5308669972402189      6.69s
  29     3.26 0.6871988285076912        3 0.29658452732161067 0.5453889003199357      6.43s
  30     3.56 0.7773644478267414        3 0.30155135398040683 0.5006874603907698      6.18s
  31     3.43 0.7606321007065168        3 0.30042275022399134 0.5108448941985088      5.99s
  32      3.2 1.5990525797608093        3 0.2995357080462558 0.5188282737981288      5.88s
  33     3.32 0.9264124046501047        9 0.3005144424201823 0.4254056754733881      5.70s
  34     3.22 1.173482467110554        3 0.2984877398759509 0.5282599873308728      5.45s
  35     3.61 0.834102279371973        3 0.2987421237321927 0.5259705326246972      5.20s
  36     3.23 0.8471895452172375        3 0.29898455083473174 0.5237886887018458      4.96s
  37     3.28 96.34500994899686        3 0.2973125860073864 0.5388363721479537      4.72s
  38     3.07 0.7135675495884414        3 0.30215191040158657 0.4952824526001521      4.48s
  39     3.12 1.2922933995117925        3 0.29661359927144537 0.5451272527714225      4.24s
  40     3.64 0.8260462144675347        3 0.30245254613536215 0.49257673099617216      4.06s
  41     3.34 0.8104998795225478        3 0.2967191325158838 0.5441774535714775      3.94s
  42     3.62 2.2707950917873716        3 0.3016051834452206 0.5002029952074466      3.75s
  43     3.04 0.7015444547510146        3 0.29690758944396706 0.5424813412187277      3.55s
  44     3.44 2.68636789814894        3 0.29999089613277935 0.5147315810194176      3.36s
  45     3.46 0.7622273030887746        3 0.29758941554738133 0.5363449062879992      3.15s
  46      3.3 0.7629547873693907        3 0.29910736885484074 0.522683326520865      2.93s
  47     3.28 0.7365841865421688        3 0.2995764332933084 0.5184617465746562      2.69s
  48     3.17 0.9228012091040528        3 0.29795169288363443 0.5330844102617213      2.45s
  49     3.31 0.6743437291518996        3 0.3022456053252093 0.49443919828754773      2.22s
  50     3.44 0.8333430368354493        3 0.30000925343426776 0.5145663653060212      1.99s
  51     3.34 0.8336663852230004        3 0.3035106954396442 0.4830533872576335      1.76s
  52     3.14 1.1644104650978202        3 0.30186397882066995 0.4978738368284019      1.54s
  53     3.18 0.7538922428607484        3 0.2969367274924557 0.5422190987823307      1.31s
  54     3.29 0.8355732630284115        3 0.29671532721484 0.5442117012808713      1.09s
  55     3.51 0.8390295092937535        3 0.2973115738551049 0.5388454815184868      0.87s
  56     3.52 1.3558365589405565        3 0.3017396661640013 0.4989926507384202      0.65s
  57     3.27 0.8608857988225412        3 0.29341748393780537 0.5738922907741829      0.43s
  58     3.26 0.7452307753918643        3 0.29816638047425115 0.531152221946171      0.22s
  59     3.64 0.8574995614396917        3 0.2979763165634792 0.5328627971431186      0.00s
Final Fitness:  0.20040728552466028
    |    Population Average   |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    37.62 19703.810801172956        7 0.5456890496964114 0.8546783657425484     19.31s
   1    10.21 48.75528497977556        7 0.3441158638793553 0.272718355206574     16.31s
   2     7.28 1.2111829419227385        9 0.26542844842453034 0.2862606249063028     15.35s
   3     6.13 0.924269996489642        9 0.26335053729725155 0.30496182505181185     14.39s
   4     4.76 0.9930355084332375        7 0.24787690256164896 0.33042218153245806     13.49s
   5     4.41 2.0497781592078916        7 0.24314300317602217 0.30135412676332446     12.89s
   6      5.9 1.0610969606108005        7 0.24047796576752908 0.34115528865361533     12.32s
   7      7.1 0.7347976146146007        7 0.23980085066579035 0.34724932456926405     12.05s
   8     7.23 0.7952176072708048        7 0.2411390441306727 0.33520558338532264     11.78s
   9     7.34 0.7772557266753841        7 0.24157207283536616 0.33130832504308133     11.64s
  10     7.18 0.8658151600312602        7 0.2383619073357982 0.36019981453919314     11.35s
  11     7.02 0.8547724688164134        7 0.2396755757880527 0.33256097325504985     11.14s
  12     7.14 0.7854062037150805        7 0.23566756876165287 0.3686330364926483     10.98s
  13      7.4 271.4008609308214        7 0.22517340914748338 0.22391358451247323     10.79s
  14     6.95 0.7488464262306997        7 0.2192667905973465 0.2770731514637052     10.62s
  15     6.84 0.8358293341579116        7 0.21356190073201867 0.3284171602516557     10.36s
  16     7.22 0.8140754965379955        7 0.21272809374565615 0.3359214231289178     10.17s
  17     7.22 0.6976537529643235        7 0.20963014354977552 0.36380297489184416      9.97s
  18     6.96 0.7311767842875849        7 0.20972044059282985 0.362990301504355      9.78s
  19     7.18 1.0812755390389819        7 0.2138336153025165 0.32597172911717504      9.56s
  20      7.1 0.9311531416807085        7 0.2124278401335187 0.3386237056381553      9.36s
  21     6.96 0.8361268233615742        7 0.21429287095068034 0.32183842828370063      9.16s
  22     7.04 0.8192146311320484        7 0.20326287830891238 0.30192819735511867      8.94s
  23     7.03 0.8878590011799106        7 0.20011294007474767 0.33027764146260113      8.71s
  24     7.19 1.9761365873041319        7 0.1926977998933014 0.39701390309561724      8.49s
  25     6.96 0.8349096879316888        7 0.1932049514381551 0.3924495391919341      8.26s
  26     7.16 4.492436415895512        7 0.19990717472569658 0.332129529604061      8.03s
  27     7.09 0.7181834682789834        7 0.20041615435244095 0.3275487129633617      7.78s
  28     7.16 1.585596096638225        7 0.1991999798252628 0.3384942837079648      7.60s
  29     6.72 0.6996931493768748        7 0.19557584303354392 0.37111151483343513      7.45s
