Standard GP
formula = lambda X: 0.3 * X[:,0] * np.sin(2*math.pi*X[:,1])
    |    Population Average   |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    37.62 3240.1737682970206       63 0.09606542877337715 0.14919187292611436     19.78s
   1    10.96 1.1594911477541252        7 0.08607819945142323 0.13268469489377666     16.81s
   2     5.06 0.39531768302647613        7 0.09039229078311785 0.09385787290852514     14.58s
   3     2.54 0.26127386067087827        3 0.09240509572801632 0.18213487033436163     12.83s
   4     1.63 0.3431312316366922        1 0.09502019461405366 0.15931794821717155     11.34s
   5     1.64 0.8384465238014631        1 0.09390519560344507 0.1693529393126488     10.35s
   6     1.66 0.67240777329938        1 0.09262907861927658 0.18083799217016527      9.58s
   7     1.52 0.19550053218182115        1 0.09438964532658957 0.16499289180434848      8.98s
   8     1.48 0.2560304688868271        1 0.09350538810757518 0.1729512067754779      8.51s
   9     1.61 0.24201323852533027        1 0.09462345635569468 0.16288859254240245      8.10s
  10     1.56 0.2536544993011576        1 0.0946305644483137 0.16282461970883122      7.73s
  11     1.46 0.31236438945294803        1 0.0938405159284179 0.16993505638789355      7.40s
  12     1.56 0.2741723208986325        1 0.09189684545956943 0.18742809060752955      7.13s
  13     1.86 119.2613451566055        1 0.09289736510239893 0.17842341382206414      6.94s
  14     1.23 0.1909068706117332        1 0.094183101405042 0.16685178709827644      6.83s
  15     1.46 0.25749706914018444        1 0.09172585006009838 0.1889670492027691      6.75s
  16     1.57 0.3998462960457324        1 0.09457429052061102 0.16333108505815547      6.61s
  17      1.5 0.18175273894610885        1 0.09460280396742006 0.16307446403687395      6.56s
  18     1.56 0.25274339704334564        1 0.09305110787625742 0.17703972885733776      6.35s
  19     1.82 0.3562193784031828        1 0.09479942051027279 0.16130491515119935      6.17s
  20     1.25 0.28543448976860664        1 0.09276701087474588 0.1795966018709415      5.94s
  21     1.51 0.2823673250326388        1 0.09484484132505634 0.16089612781814752      5.74s
  22      1.5 0.2909870980271816        1 0.0938558955781113 0.16979663954065297      5.55s
  23     1.42 0.254226574156788        1 0.0943164974327856 0.16565122284858413      5.36s
  24     1.62 0.6876568773339407        1 0.09409929829374424 0.16760601509995635      5.17s
  25     1.38 0.2956233161697493        1 0.09365473538960488 0.17160708123721047      4.99s
  26      1.6 0.48772033224526745        1 0.09448711764606016 0.1641156409291131      4.83s
  27     1.47 0.2677520222163708        1 0.09456034837038224 0.1634565644102143      4.68s
  28     1.52 0.998657830663214        1 0.09423188707638637 0.16641271605617733      4.51s
  29     1.44 0.1710354913747419        1 0.09201563280618891 0.1863590044879544      4.34s
  30      1.7 0.21582247131136711        1 0.09439843676174385 0.16491376888795978      4.18s
  31     1.62 0.2590122736620304        1 0.09423855062100452 0.16635274415461396      4.01s
  32     1.38 0.35653813408062945        1 0.09590460542144166 0.15135825095067953      3.85s
  33     1.58 0.5824361888046411        1 0.09404256511998421 0.16811661366379652      3.69s
  34     1.31 0.6650920994321506        1 0.09443736962379846 0.16456337312946823      3.53s
  35      1.8 0.24428640895724502        1 0.09345468756872201 0.1734075116251564      3.38s
  36     1.38 0.3181133696952385        1 0.09510843538466446 0.1585237812816744      3.23s
  37     1.48 35.90028037923041        1 0.09414566817326511 0.16718868618426855      3.08s
  38      1.3 0.19280181514349015        1 0.09375129255875064 0.17073806671489875      2.93s
  39     1.25 1.6277472636957973        3 0.09457098142377418 0.16264189907254104      2.78s
  40     1.82 0.3225524176224316        1 0.09345974194885125 0.17336202220399324      2.64s
  41     1.59 0.35956812760942775        1 0.09381362746340757 0.17017705257298635      2.50s
  42     1.86 2.4302013142818213        1 0.09291339036472568 0.1782791864611235      2.36s
  43     1.26 0.17435419920563788        1 0.09211248558716117 0.18548732945920396      2.21s
  44     1.61 12.672728166217523        1 0.09394833849901349 0.1689646532525331      2.07s
  45     1.61 0.2329000301842366        1 0.09479578758403288 0.16133761148735853      1.93s
  46     1.42 0.24829017911767096        1 0.09383326709115325 0.17000029592327523      1.78s
  47     1.46 0.2715003132143285        1 0.09227638505261525 0.18401223427011734      1.65s
  48     1.32 0.3896885220332226        1 0.09474043952778269 0.1618357439936103      1.51s
  49     1.46 0.1737315154192262        1 0.0941895005533234 0.16679419476374388      1.37s
  50     1.65 0.25758402594138635        1 0.09400984362751197 0.16841110709604687      1.24s
  51     1.47 0.2921195631219182        1 0.09367844272714441 0.17139371519935467      1.10s
  52     1.42 0.5504206039249183        1 0.09453477116167501 0.16368675928857943      0.96s
  53     1.29 0.2893469111831376        1 0.09439959491197865 0.16490334553584676      0.82s
  54     1.36 0.31969824704254973        1 0.0944794124013214 0.16418498813176166      0.68s
  55     1.67 1.4973125760808301        1 0.09548953388575512 0.15509389477185845      0.55s
  56     1.77 4.248492029213465        1 0.0947617811924845 0.16164366901129398      0.42s
  57     1.43 1.3674550066104965        1 0.09345279661834882 0.17342453017851497      0.28s
  58     1.44 0.23693172023257275        1 0.09463628676103039 0.16277311889438098      0.14s
  59     1.76 0.32991486659426017        1 0.09326474355815716 0.17511700772024028      0.00s
Final Fitness:  0.015739333719101793
    |    Population Average   |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    37.62 915.889323059921       63 0.09770541009707907 0.1459392342549874     51.21s
   1    11.26 0.8148560567083173        3 0.09718736763445596 0.1506016164185955     37.84s
   2     5.12 0.3325024946131463        7 0.09448889096459022 0.09893606499133077     30.08s
   3     2.52 0.2534365718568562        3 0.09556603502399917 0.16519360991270654     27.41s
   4     1.63 0.47490066452167007        1 0.09744185091530604 0.18010404710338437     23.64s
   5     1.64 0.7837395976904543        1 0.0979468689193365 0.17555888506711026     21.57s
   6     1.66 0.5108932788292634        3 0.09751270592692321 0.14392181709697727     19.72s
   7     1.52 0.19009644969198564        1 0.09601484392000253 0.19294711006111576     18.27s
   8     1.48 0.2386563231998873        7 0.09634032062208053 0.11133566426900221     16.92s
   9     1.61 0.22265198536970288        1 0.09789910445977705 0.17598876520314533     15.80s
  10     1.56 0.2187853395590219        3 0.09484839898609607 0.17165233425383453     14.74s
  11     1.46 0.323565216763593        1 0.09608758202598897 0.192292467107238     13.84s
  12     1.56 0.2560567981263173        1 0.09911166300727149 0.1650757382756952     13.04s
  13     1.86 85.0534344022443        1 0.09665198686856102 0.1872128235240894     12.39s
  14     1.23 0.17569608153202362        1 0.09812492739282107 0.1739563588057491     11.72s
  15     1.46 0.419473929600772        1 0.09788391565976207 0.17612546440328014     11.57s
  16     1.57 0.2778009883204329        1 0.0992682533784853 0.1636664249347709     10.98s
  17      1.5 0.1860475365720697        1 0.09898394057927876 0.16622524012762982     10.46s
  18     1.56 0.2549106160909392        7 0.09684724835153692 0.15259148644825163      9.98s
  19     1.82 0.30295943061293107        1 0.09802473103763941 0.17485812600238407      9.51s
  20     1.25 0.26382659733430563        1 0.09817739537857498 0.17348414693396386      9.07s
  21     1.51 0.26770719616900174        1 0.09908752650249572 0.16529296681867725      8.76s
  22      1.5 0.254390442070962        1 0.09672826477726598 0.1865263223457446      8.37s
  23     1.42 0.25344966745119085        1 0.09672243350151057 0.18657880382754352      7.98s
  24     1.62 0.5715398927492433        1 0.09852583717682016 0.17034817074975728      7.65s
  25     1.38 0.2946408744114447        3 0.09885219011590902 0.13561821408551775      7.31s
  26      1.6 0.6502512514692004        1 0.09843793528994987 0.17113928773158968      6.98s
  27     1.47 0.22655763827789413        1 0.0952026538115098 0.20025682103755052      6.66s
  28     1.52 0.5052104978432683        1 0.09928690356355874 0.1634985732691101      6.36s
  29     1.44 0.1665327415765795        1 0.09762726040174244 0.17843536172545668      6.08s
  30      1.7 0.2058550944913014        1 0.09946076809317592 0.16193379250255555      5.80s
  31     1.62 0.2575210253863912        7 0.09755272114823617 0.12225394474939627      5.53s
  32     1.38 0.16861477720866647        1 0.09817828711234086 0.17347612133007098      5.27s
  33     1.58 0.5852709416318652        1 0.0992607726371047 0.16373375160719641      5.02s
  34     1.31 0.652398560368193        1 0.09738780569737271 0.18059045406478433      4.77s
  35      1.8 0.20830206047885483        1 0.09783929289924008 0.1765270692479779      4.54s
  36     1.38 0.2730139806701459        1 0.09756030716221027 0.17903794088124633      4.31s
  37     1.48 4.449795855848183        1 0.09452118630303315 0.20639002861384034      4.09s
  38      1.3 0.19003778635920482        1 0.09762485316768744 0.17845702683195155      3.87s
  39     1.25 1.0331202026623465        1 0.09442360492504866 0.1886382223496239      3.65s
  40     1.82 0.34177516547273273        1 0.0977022865501162 0.15913008772401616      3.44s
  41     1.59 0.34641265877507693        1 0.09543817678898511 0.17950707557419596      3.23s
  42     1.86 2.4195775234121037        1 0.09579850264144361 0.1762641429020694      3.03s
  43     1.26 0.16749552038439297        1 0.09701985403286446 0.16527198037928165      2.84s
  44     1.61 3.2365048234228184        1 0.09630060377577647 0.17174523269307382      2.64s
  45     1.61 0.19450264841029813        1 0.09590024133213101 0.1753484946858829      2.46s
  46     1.42 0.256457337696878        1 0.0964296502543564 0.17058381438585424      2.27s
  47     1.46 0.24056886987527626        1 0.09510452958895393 0.18250990037447656      2.08s
  48     1.32 0.42314083997289        1 0.0967028508588095 0.16812500894577642      1.90s
  49     1.46 0.17505861310464246        1 0.09625921256909759 0.17211775355318368      1.72s
  50     1.65 0.23801020573793308        1 0.09669833553611493 0.16816564685002763      1.54s
  51     1.47 0.26220626274924735        1 0.09645607204097369 0.1703460183062988      1.36s
  52     1.42 0.5091409252380165        1 0.09664960989222351 0.1686041776450502      1.18s
  53     1.29 0.25079527506383614        1 0.09700201182830573 0.16543256022031044      1.01s
  54     1.36 0.2981475384293399        1 0.09663738838854508 0.16871417117815626      0.84s
  55     1.67 0.3298991688553759        1 0.0953197069878194 0.1805733037846873      0.67s
  56     1.77 0.6818793124318961        1 0.09640195222611644 0.17083309664001392      0.50s
  57     1.43 0.37334427479671667        3 0.09613547148318889 0.160068681779999      0.33s
  58     1.44 0.22879604494541725        1 0.0970924922203315 0.1646182366920783      0.17s
  59     1.76 0.281613975518058        1 0.09461504310135556 0.18691527876286196      0.00s
Final Fitness:  0.016281097677652973
    |    Population Average   |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    37.62 1300.3764443697564       31 0.08948755451126075 0.11075931624264516     19.14s
   1    11.13 1.723146949475161       19 0.08377125483703507 0.10667133185375306     16.30s
   2      4.8 0.3028009570613984       11 0.08550249262727909 0.1466248731984801     14.16s
   3     2.48 0.29386637156317996        3 0.0839365016678726 0.16071879183313856     12.41s
   4     1.63 0.7171892087364877        1 0.08457246935047319 0.17634673925135483     11.01s
   5     1.64 0.9898684609224968        1 0.08714739954505933 0.15317236750007976     10.07s
   6     1.66 0.5017093819853183        1 0.086380090260522 0.15893099938560987      9.36s
   7     1.52 0.18661667169006585        3 0.08724588576795338 0.13093433493241155      8.80s
   8     1.48 0.2392882648452848        7 0.0809277250920469 0.0786357500163097      8.30s
   9     1.61 0.22723759729871332        1 0.08795662092164196 0.14588937511083608      7.91s
  10     1.56 0.2665169105764271        1 0.08672645636970353 0.15581370440297612      7.56s
  11     1.46 0.30189980994434634        1 0.08718635397246473 0.15167462597812528      7.26s
  12     1.56 0.2939861830863699        1 0.08479351551288074 0.17435732378968707      6.99s
  13     1.86 77.1341156661173        1 0.08553633076019712 0.1676719865638395      6.74s
  14     1.23 0.2166568165340417        1 0.08585491757420931 0.16365755356242417      6.54s
  15     1.46 0.2687335330506862        1 0.08722214464544742 0.15135250992128105      6.32s
  16     1.57 0.4877890943825125        3 0.08606646851583244 0.14154909020150003      6.12s
  17      1.5 0.16932970386111987        1 0.08408866857890279 0.17955379452018275      5.92s
  18     1.56 0.2602761612628414        1 0.08389062570907554 0.15011487023049222      5.74s
  19     1.82 0.3654642996518744        1 0.08427391832368848 0.14666523669897588      5.57s
  20     1.25 1.0837799918641444        1 0.08360075457951197 0.15272371039656446      5.39s
  21     1.51 0.28086341357142547        1 0.0839387610385966 0.14968165226480276      5.23s
  22      1.5 0.2248630992101218        1 0.08384108766486767 0.1505607126283632      5.07s
  23     1.42 0.3891970041733629        1 0.08332632303842306 0.15519359426636456      4.90s
  24     1.62 0.8843253616823497        1 0.08331792885748689 0.15526914189479032      4.74s
  25     1.38 0.2913397455104705        1 0.0820942515757988 0.16628223742998288      4.59s
  26      1.6 0.5189318454417304        1 0.08361911075032522 0.15255850485924502      4.43s
  27     1.47 0.22294036784683458        1 0.08292392309259586 0.15881519377880945      4.28s
  28     1.52 0.4220801303517823        1 0.080519624560438 0.18045388056823017      4.13s
  29     1.44 0.16009743875769256        1 0.08422231995047921 0.1471296220578592      3.99s
  30      1.7 0.22366526002186277        1 0.08413943501054105 0.14787558651730265      3.85s
  31     1.62 0.2657237772375028        1 0.08292098441883743 0.15884164184263527      3.71s
  32     1.38 1.0337747937356248        1 0.08331989343828385 0.15525146066761755      3.56s
  33     1.58 0.40259438483406995        1 0.08402806042526718 0.14887795778476753      3.43s
  34     1.31 0.658107997889484        1 0.08372631951227033 0.151593626001739      3.29s
  35      1.8 0.2548078577027943        1 0.08336145009540255 0.15487745075354914      3.15s
  36     1.38 0.30001623805274974        1 0.0823999097351521 0.1635313139958033      3.01s
  37     1.48 95.82791486158627        1 0.08329901819340517 0.15543933787152545      2.88s
  38      1.3 0.18991363944198866        1 0.08359466319315917 0.15277853287373966      2.74s
  39     1.25 0.7629238124340963        1 0.08447309081220172 0.14487268430235653      2.60s
  40     1.82 0.32160138746237166        1 0.08168326555760873 0.16998111159369364      2.47s
  41     1.59 0.309114981649907        1 0.08246890822710477 0.1629103275682292      2.34s
  42     1.86 1.7672993405368254        1 0.08316479453521908 0.15664735079520034      2.21s
  43     1.26 0.16833216965590084        1 0.08473846670039606 0.14248430130860754      2.08s
  44     1.61 2.145254226345735        1 0.08453712654951248 0.1442963626665597      1.94s
  45     1.61 0.23534557887397572        1 0.08321378562597358 0.15620643097840986      1.81s
  46     1.42 0.26199793070729416        1 0.08416499809622395 0.14764551874615664      1.69s
  47     1.46 0.22438548180372334        1 0.08415416347348902 0.14774303035077088      1.55s
  48     1.32 0.4027532949401335        1 0.08226307598219627 0.16476281777240576      1.42s
  49     1.46 0.17067012281587415        1 0.08293397398131559 0.15872473578033186      1.29s
  50     1.65 0.2632544794736239        1 0.08375831166058946 0.15130569666686697      1.16s
  51     1.47 0.3170785144508996        1 0.08342616999138273 0.15429497168972753      1.03s
  52     1.42 0.5981558428715276        1 0.08356053705155965 0.15308566814813515      0.90s
  53     1.29 0.24104831875601154        1 0.08284194561153692 0.15955299110833993      0.77s
  54     1.36 0.3138268529547107        1 0.08245448244430659 0.16304015961341298      0.64s
  55     1.67 0.33196712495031633        1 0.08300673495040302 0.15806988705854488      0.52s
  56     1.77 0.8317309146191836        1 0.08062454362733844 0.1795096089661262      0.39s
  57     1.43 0.33278377840294043        1 0.08392898416440053 0.14976964413256735      0.26s
  58     1.44 0.22597527851291127        1 0.08266563759494229 0.1611397632576915      0.13s
  59     1.76 0.3454942163499732        1 0.0831077501928225 0.15716074987676945      0.00s
Final Fitness:  0.014878540510356022
    |    Population Average   |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    37.62 19703.345861982787       61 0.07428942054729178 0.11109251011509552     18.23s
   1    11.04 47.83461949700047        7 0.0729522544274438 0.07845988407593438     16.84s
   2     5.26 0.4265331159444789        7 0.06948289568471254 0.09279658019940452     14.68s
   3     3.46 0.29626599398078785        3 0.07199497751587461 0.11663743664186188     13.11s
   4     2.64 0.5376600944726477        3 0.0713717208190133 0.12224674691361363     11.97s
   5     1.64 1.5956693302236147        1 0.07626218251286289 0.14277070026541436     10.84s
   6     1.66 0.6554249420074947        1 0.07578134441233954 0.14709824317012463     10.03s
   7     1.52 0.17355275429816772        3 0.07394083536107739 0.11422977679102508      9.35s
   8     1.48 0.25986441700841295        7 0.07416526664167968 0.06972310147708016      8.80s
   9     1.61 0.21894756784837546        1 0.07712452237441722 0.13500964151142547      8.36s
  10     1.56 0.33243768234014115        1 0.07611494411273131 0.14409584586659857      7.98s
  11     1.46 0.29496792098292307        1 0.07596576607642484 0.14543844819335686      7.64s
  12     1.56 0.29392640473560383        1 0.07616231679896635 0.14366949169048324      7.39s
  13     1.86 271.40291766922905        1 0.07562161942404506 0.14853576806477478      7.18s
  14     1.23 0.31153494761024747        1 0.0755090219089232 0.14954914570087166      6.95s
  15     1.46 0.3689016382963979        1 0.0763301572027205 0.1421589280566958      6.77s
  16     1.57 0.43726003109088446        1 0.0754592313746642 0.14999726050920248      6.58s
  17      1.5 0.17814117600576884        1 0.0766615744192144 0.13917617310825084      6.38s
  18     1.56 0.27788123280635846        7 0.07681403751870036 0.08837095737241825      6.21s
  19     1.82 0.5626181528036448        3 0.07682629888019897 0.0882606051189309      6.00s
  20     1.25 0.8274037066642709        1 0.07419800784791132 0.16134827224997841      5.80s
  21     1.51 0.3532135195233832        1 0.07649746923218803 0.14065311979148812      5.61s
  22      1.5 0.30262847673652316       39 0.07598282488782956 0.0958518710502555      5.42s
  23     1.42 0.3708895229818212        1 0.07805043342632254 0.12667644204427758      5.23s
  24     1.62 1.4414908602595176        1 0.07686794624318624 0.13731882669250414      5.05s
  25     1.38 0.2962025466372579        1 0.0761909877015288 0.14341145356742122      4.87s
  26      1.6 3.938194912081788        1 0.07670872987804946 0.13875177397873534      4.70s
  27     1.47 0.22973795362334562        3 0.07373233469006746 0.11610628283011433      4.53s
  28     1.52 1.1268935781499378        3 0.07488042204426322 0.10577349664235265      4.37s
  29     1.44 0.17153740084065233        3 0.07372813143430836 0.11614411213194635      4.20s
