Standard GP
formula = lambda X: X[:,0]**4 - X[:,0]**3 + 0.5*X[:,1]**2 - X[:,1]
    |    Population Average   |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    37.62 3240.3461206500324        7 0.27192214403268844 0.20758304882130166     56.08s
   1     8.98 92.22870915307561       19 0.24391556776327997 0.20186564235255297     46.44s
   2      6.5 0.7413733079092389       19 0.23677750390752675 0.26610821705433213     43.41s
   3     4.52 0.6504446642269724        3 0.22427375155279972 0.654333059499581     39.11s
   4     3.46 0.6482740714048658        3 0.2233182529102557 0.6629325472824767     35.85s
   5      3.5 1.1574660404769244       17 0.18118942551223866 0.22955206648712825     33.64s
   6     3.51 0.9874862084479709        3 0.2293111258353999 0.6089966909561794     31.39s
   7     3.36 0.4822911460641158        3 0.23094414557144502 0.5942995133317736     30.06s
   8     3.39 0.5546991296160364        3 0.2216104370985171 0.6783028895881248     28.57s
   9      3.5 0.5340551492278817        3 0.23055617816189095 0.5977912200177599     28.09s
  10     3.34 0.5583797743776064        3 0.2293398380489322 0.6087382810343887     26.90s
  11     3.24 0.6273682001592273        3 0.22436632459515693 0.6534999021183666     25.92s
  12     3.47 0.5567575260780113        3 0.2297179671315868 0.6053351192904974     25.12s
  13     3.66 119.55483039294761        3 0.23568655635987912 0.5516178162358664     24.35s
  14     3.08 0.5171898987547544        3 0.22623547554142154 0.6366775436019849     23.57s
  15     3.18 0.5688641991155129        3 0.223593349289466 0.6604566798695843     22.82s
  16     3.38 0.7134732208871908        3 0.22916868539332444 0.6102786549348586     22.42s
  17     3.29 0.464192825332057        3 0.2346732423101183 0.5607376426837138     21.66s
  18      3.4 0.5587733129659977        3 0.21702532266565153 0.7195689194839147     21.12s
  19     3.65 0.6810535240961721        3 0.2249645489288411 0.6481158831152087     20.60s
  20     3.14 0.5883443653019655        3 0.23589157561890464 0.5497726429046366     20.09s
  21     3.28 0.6053721104488672        3 0.22832758373513987 0.6178485698585198     19.89s
  22     3.35 0.6087650701692197        3 0.2339438940674031 0.5673017768681503     20.12s
  23     3.26 0.5753353110782558        3 0.220106318041501 0.6918399611012697     19.52s
  24     3.48 1.0080544190478855        3 0.21488142136202396 0.738864031216563     19.26s
  25      3.2 0.6060408257969325        3 0.22729131566462382 0.6271749824931642     19.05s
  26      3.4 0.7894271987727521        3 0.22283326982295115 0.6672973950682181     18.62s
  27     3.28 0.5847196130858264        3 0.2332453535477035 0.573588641545447     17.93s
  28     3.36 1.3128308699140723        3 0.24166584306954683 0.49780423584885664     17.23s
  29     3.26 0.4778041091490185        3 0.22851004637630992 0.6162064060879889     16.60s
  30     3.56 0.5270351808832592        3 0.2226428014143766 0.6690116107453891     15.96s
  31     3.43 0.5592130513566781        3 0.23202686058380595 0.5845550782205247     15.33s
  32      3.2 0.6766463520608843        3 0.23649145080230977 0.5443737662539906     14.74s
  33     3.32 0.8942916363384085        3 0.23235041773486542 0.5816430638609901     14.20s
  34     3.22 0.9843266005463588        3 0.21577384960825133 0.7308321770005164     13.59s
  35     3.61 0.5680830939047988        3 0.2252732345206664 0.6453377127887808     13.02s
  36     3.23 0.6345292769929444        3 0.2318655708703944 0.5860066856412286     12.46s
  37     3.28 36.19307891173405        3 0.23188092532279705 0.5858684955696051     11.87s
  38     3.07 0.4988195078040027        3 0.22781719516763574 0.6224420669660572     11.30s
  39     3.12 1.9469146698933613        3 0.23897575406572488 0.5220150368832541     10.83s
  40     3.64 0.6192768343359939        3 0.23204277660199307 0.5844118340568408     10.27s
  41     3.34 0.6483900671226022        3 0.2298885730440512 0.6037996660783179      9.70s
  42     3.62 2.736647100927537        3 0.2335280770505086 0.571044130020201      9.13s
  43     3.04 0.4852535101545329        3 0.2213276211842245 0.6808482328167581      8.57s
  44     3.44 12.985666146286565        3 0.23635635234056587 0.5455896524096856      8.03s
  45     3.46 0.5361478904620139        3 0.22818203280464552 0.6191585282329689      7.48s
  46      3.3 0.5409008043311868        3 0.2269111704552743 0.6305962893773097      6.95s
  47     3.28 0.5615323624713358        3 0.22893530402451892 0.612379087254108      6.41s
  48     3.17 0.691963534688912        3 0.2326782723295088 0.5786923725091991      5.87s
  49     3.31 0.463695291490896        3 0.2259428673702482 0.6393110171425446      5.32s
  50     3.44 0.5747557985501135        3 0.22630868475803886 0.6360186606524288      4.79s
  51     3.34 0.5905020024429437        3 0.23292559233024562 0.5764664925025683      4.26s
  52     3.14 0.8689694071574742        3 0.22392551621951085 0.6574671774991808      3.74s
  53     3.18 0.587192250377319        3 0.2343529741969036 0.563620055702646      3.20s
  54     3.29 0.6240059418303615        3 0.2250615750709905 0.6472426478358637      2.66s
  55     3.51 1.7894742359124647        3 0.22630430823638292 0.6360580493473323      2.13s
  56     3.52 4.548959294405233        3 0.23253328046978816 0.5799972992466849      1.60s
  57     3.27 1.6807343948086777        3 0.23042131873614546 0.5990049548494698      1.06s
  58     3.26 0.5355542449347576        3 0.23165079278213033 0.5879396884356055      0.53s
  59     3.64 0.6192430142249812        3 0.2368656662620192 0.5410058271166058      0.00s
Final Fitness:  0.4867173220306337
    |    Population Average   |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    37.62 916.120854355123        7 0.3615264598406973 0.417155352890964     53.18s
   1     9.06 1.1171194418190138       17 0.3405917246075888 0.4461718557171783     52.61s
   2     7.04 0.8400866034006503       11 0.30448430193127435 0.26508811366545976     52.64s
   3     7.07 0.8228780249778467       11 0.28590010076797223 0.43234592413517897     47.72s
   4     7.74 1.0882358448973741        7 0.21440335098084523 0.2838527432779556     45.63s
   5     7.94 1.2120079840917155       15 0.19935698778581978 0.22444197714757216     54.30s
   6     8.24 1.0299737139399823        7 0.20173876575759342 0.3978340102872224     54.13s
   7      7.1 0.6357246764895863        7 0.19237779297792668 0.4820827653042226     51.61s
   8     7.24 0.6386923730617664        7 0.20628907135478686 0.35688125991248104     49.75s
   9     7.26 0.6655338258160691        7 0.20409229825223496 0.3766522178354485     51.68s
  10     7.17 0.6585958526156647        7 0.2021931824429295 0.39374426011919733     50.13s
  11     6.96 0.7599081907104466        7 0.2045714884925069 0.3723395056730006     48.50s
  12     7.26 0.6304797711645908        7 0.20421038963581456 0.3755893953832317     47.35s
  13      7.4 85.40394770019772        7 0.19764724329120018 0.29590820285012315     46.64s
  14     6.86 0.6179529380797192        7 0.19344816232432846 0.3336999315519685     45.26s
  15     6.88 0.815320909378816        7 0.1944440457612802 0.324736980619403     44.37s
  16     7.24 0.6996023895374589        7 0.19339965978795914 0.3341364543792924     43.42s
  17     7.18 0.6206425849491761        7 0.19623176606707032 0.3086474978672918     41.96s
  18     6.92 0.7256253850550345        7 0.19722710191094575 0.299689475272413     40.84s
  19     7.28 0.7842721610630048        7 0.19693947027590417 0.30227815998778734     40.28s
  20     7.15 0.6648338831134327        7 0.1945262952509577 0.32399673521230526     39.65s
  21     6.96 0.7296393770815647        9 0.19051595538227328 0.09266159304123422     38.54s
  22     7.01 0.704956660893436        7 0.19538108538162025 0.3163036240363425     37.14s
  23      7.0 0.6880924463266413        7 0.19463163304435727 0.323048695071709     36.01s
  24     7.19 1.0544330344994293        7 0.19359318063411457 0.33239476676389357     34.97s
  25     6.98 0.702721342616326        7 0.1944426496585443 0.3247495455440258     33.88s
  26     7.06 1.1414917352233633        7 0.19646534100430607 0.30654532343217     32.51s
  27     7.14 0.6603972842934125        7 0.1891714881785752 0.372189998863748     31.13s
  28     7.24 0.7963147945987973        7 0.19539972721394325 0.3161358475454354     30.04s
  29     6.75 0.6451230389573266        7 0.19086688770904223 0.35693140308954435     28.92s
  30     7.28 0.6759507698448075        7 0.19390403680528895 0.32959706122332394     27.96s
  31     7.22 0.7220613917784245        7 0.19591923667921057 0.31146026235802954     26.70s
  32     6.91 0.6404061731250323        7 0.1970839141826519 0.30097816482705714     25.47s
  33      7.0 1.0097061055679182        7 0.194244693621982 0.32653114987308657     24.30s
  34     7.02 1.1587028925314444        7 0.19375479880548113 0.33094020322159445     23.24s
  35     7.46 0.6653409922509352        7 0.19384006607674445 0.33017279778022446     22.07s
  36     6.87 0.7452371235281012        7 0.19410622487746262 0.32777736857376116     20.98s
  37     6.96 1.2202654022762716        7 0.18823666652707619 0.380603393727239     19.88s
  38     6.64 0.6757112338761389        7 0.1938854260645624 0.3297645578898628     18.78s
  39     6.88 1.4902066574331505        7 0.19316766283644074 0.3362244269429578     17.80s
  40     7.38 0.7616444401552462        7 0.19680701397956898 0.303470266654804     16.76s
  41     6.98 0.7665662313579369        7 0.19499021856085483 0.3198214254232314     15.77s
  42     7.35 2.861669854915765        7 0.1959543980353312 0.31114381015294357     14.80s
  43     6.82 0.6135255359474097        7 0.1967836018341474 0.30368097596359805     13.82s
  44     7.23 2.1982655079197833        7 0.1968067948696766 0.303472238643835     12.88s
  45     7.35 0.6587764914304997        7 0.19468064302506635 0.32260760524532756     11.94s
  46     7.07 0.7475475885744604        7 0.19710384427620747 0.3007987939850571     11.02s
  47     7.02 0.7061348144424976        7 0.19788941343173694 0.29372867158529214     10.10s
  48     6.96 0.8831313196560181        7 0.19485679124788569 0.32102227123995336      9.20s
  49     7.08 0.6291843433703764        7 0.1947102138548056 0.32234146777767414      8.36s
  50     6.99 0.7105705999195919        7 0.19497464655647218 0.3199615734626749      7.48s
  51     7.14 0.726143379151519        7 0.19184633174485252 0.34811640676725214      6.62s
  52      6.9 0.7965431065236082        7 0.1947266385815008 0.32219364523741717      5.77s
  53     7.04 0.7150791855026494        7 0.19313201629270108 0.33654524583661455      4.92s
  54      7.2 0.7643297880677544        7 0.1934727350485369 0.3334787770340925      4.08s
  55     7.26 0.7298577350832309        7 0.1963960973720383 0.3071685161225799      3.25s
  56     7.14 1.0959341952932682        7 0.19179346724292315 0.3485921872846163      2.43s
  57      7.2 0.7817878866868955        7 0.19357780693106452 0.33253313009134394      1.61s
  58     7.02 0.6840881201975317        9 0.14576559856762025 0.13090041901559446      0.80s
  59     7.54 0.6889803362250824        9 0.14266304986888573 0.1588233573042049      0.00s
Final Fitness:  0.038508494316292115
    |    Population Average   |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    37.62 1300.5707214630468        7 0.2762205438043592 0.21806278988802977     54.39s
   1     9.08 0.9613491899905199       19 0.2331059002626493 0.3487589760204635     44.06s
   2     6.52 0.7184182611435768        7 0.23100955451103763 0.6249616935279239     39.25s
   3     4.49 0.6720719667053413        3 0.2403418122271536 0.5543525681702607     37.07s
   4     3.46 1.0390658020801602        3 0.22370222432376247 0.7041088593007808     34.13s
   5      3.5 1.3240404853950651       17 0.21707125591574794 0.04785119906016827     33.12s
   6     3.51 0.8317132601208173        3 0.23009996642568722 0.6465291803834575     31.28s
   7     3.36 0.48836254937078044        3 0.2376232735063002 0.5788194166579409     29.82s
   8     3.39 0.5479607552130218        3 0.22829501537346766 0.6627737398534337     28.31s
   9      3.5 0.5348817450909751        3 0.2372039083508314 0.5825937030571601     27.19s
  10     3.34 0.5873314664257125        3 0.22729404397048075 0.6717824824803159     26.31s
  11     3.24 0.6313719335780544        3 0.23913593721264362 0.5652054433008501     25.43s
  12     3.47 0.5932511258956461        3 0.23120175492459769 0.6366130838932634     24.96s
  13     3.66 77.44296903961485        3 0.20752973234747044 0.8496612870874088     24.72s
  14     3.08 0.5588195225815289        3 0.22814746788596324 0.6641016672409737     23.94s
  15     3.18 0.5938829016560045        3 0.2295182130870444 0.6517649604312431     23.08s
  16     3.38 0.8169405772065684        3 0.2340399151750674 0.6110696416390363     22.41s
  17     3.29 0.46810610471063824        3 0.22878650480849824 0.6583503349381586     21.73s
  18      3.4 0.5826421487574893        3 0.23191870224484396 0.6301605580110471     21.14s
  19     3.65 0.7079663833714426        3 0.23696872429593682 0.5847103595512113     20.48s
  20     3.14 1.4004975019219992        3 0.22887292134764248 0.6575725860858604     19.87s
  21     3.28 0.6256775608238884        3 0.22794734785889326 0.6659027474846037     19.34s
  22     3.35 0.5628094794506276        3 0.23073412136873775 0.6408217858960034     18.83s
  23     3.26 0.72869177789107        3 0.23200115989864314 0.6294184391268548     18.25s
  24     3.48 1.2202038536089368        3 0.2336440601021847 0.6146323372949808     17.74s
  25      3.2 0.6194476377702862        3 0.22843217713989117 0.6615392839556221     17.19s
  26      3.4 0.8411040534529468        3 0.2279668395422109 0.6657273223347445     16.79s
  27     3.28 0.5592069967932615        3 0.2241113228467064 0.7004269725942854     16.23s
  28     3.36 0.7535630472903294        3 0.23117578484826437 0.6368468145802636     15.70s
  29     3.26 0.48356859693013055        3 0.23634578907003545 0.5903167765843237     15.15s
  30     3.56 0.5540389269414492        3 0.22755012311077533 0.6694777702176652     14.62s
  31     3.43 0.583792190055021        3 0.2391178338460901 0.5653683735998319     14.28s
  32      3.2 1.3762785931472885        3 0.22724889128760825 0.6721888566261688     13.87s
  33     3.32 0.7317878856679505        3 0.22975120712529684 0.6496680140869712     13.38s
  34     3.22 0.9901832890646471        3 0.23822645758169916 0.5733907599793503     12.88s
  35     3.61 0.5972299453955796        3 0.23396872187762302 0.6117103813160357     12.40s
  36     3.23 0.6364133040733873        3 0.2315811920417794 0.6331981498386281     11.88s
  37     3.28 96.13815066858427        3 0.2293987168135404 0.6528404268927792     11.36s
  38     3.07 0.5139096332504081        3 0.23861344688002703 0.5699078562943992     10.98s
  39     3.12 1.097518317828852        3 0.23403281725091596 0.6111335229563993     10.44s
  40     3.64 0.6373425308789951        3 0.2356938967726296 0.5961838072609763      9.88s
  41     3.34 0.6161948127463791        3 0.2344525259697648 0.6073561444867593      9.36s
  42     3.62 2.091972224427826        3 0.2182330954796642 0.753331018897665      8.83s
  43     3.04 0.4979396920749585        3 0.2327490453383216 0.6226874701697483      8.29s
  44     3.44 2.4760591899935167        3 0.23347739936500406 0.6161322839296063      7.87s
  45     3.46 0.555468371371131        3 0.23545264372722516 0.5983550846696163      7.35s
  46      3.3 0.571131213393091        3 0.22971187291116466 0.6500220220141613      6.94s
  47     3.28 0.5324467527771214        3 0.22988242503918255   0.648487052862      6.50s
  48     3.17 0.7223572854603973        3 0.23171452163836873 0.6319981834693243      6.00s
  49     3.31 0.47936653815606406        3 0.23481619063425507 0.6040831625063473      5.44s
  50     3.44 0.6022325956244555        3 0.23713732424638276 0.583192959997198      4.93s
  51     3.34 0.6326335772915872        3 0.2376070142926473 0.5789657495808168      4.37s
  52     3.14 0.9365976505275802        3 0.23019202099434943 0.6457006892654978      3.83s
  53     3.18 0.5559380577040755        3 0.24509671363381216 0.5115584555103333      3.28s
  54     3.29 0.6342869560847846        3 0.23115676150900502 0.6370180246335978      2.73s
  55     3.51 0.6410621349021376        3 0.2395469940140325 0.56150593208835      2.18s
  56     3.52 1.1508451701191083        3 0.24064358196104157 0.5516366405652683      1.65s
  57     3.27 0.664338829533125        3 0.23467869190213322 0.6053206510954438      1.10s
  58     3.26 0.5400149209895025        3 0.2343025102424185 0.6087062860328767      0.55s
  59     3.64 0.65359696415547        3 0.23430261364528512 0.608705355407077      0.00s
Final Fitness:  0.2928167821630828
    |    Population Average   |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    37.62 19703.528656863946        7 0.2904938470268012 0.27280288504183453      1.15m
   1     8.82 48.15048799463031       19 0.2502217292272742 0.24248894379364935     51.83s
   2     6.52 0.7665184707224789       19 0.24981652547284813 0.24613577758348412     45.74s
   3     4.68 0.6955934060358723        3 0.24265325852379616 0.7243408217592018     43.14s
   4     3.88 0.8698888649515478        5 0.24004268187379033 0.601376310808433     39.51s
   5     3.64 1.9749318011693235       17 0.22391233775933927 0.18582110468364635     36.71s
   6     3.57 1.014217634307387        3 0.24129477655518872 0.7365671594766683     35.15s
   7     3.36 0.49267556664938056        3 0.25269723118059795 0.6339450678479855     33.69s
   8     3.39 0.5899701799365196        3 0.24793975588176737 0.6767623455374605     32.25s
   9      3.5 0.5427344527900807        3 0.2560026175274651 0.6041965907261807     30.78s
  10     3.34 0.6676144513107698        3 0.24522008094789824 0.7012394199422829     30.12s
  11     3.24 0.6394152734589267        3 0.25181847159515036 0.6418539041170134     29.12s
  12     3.47 0.609693075866371        3 0.24664781508049044 0.6883898127489531     28.28s
  13     3.66 271.72821771574064        3 0.24639702629331045 0.6906469118335727     27.24s
  14     3.08 0.6691698820216527        3 0.25607140758386093 0.6035774802186187     26.25s
  15     3.18 0.7122687935103186        3 0.24698906011064775 0.6853186074775373     25.53s
  16     3.38 0.7806416383247051        3 0.24911419360439993 0.6661924060337673     25.00s
  17     3.29 0.49424830395291186        3 0.2553538153463728 0.6100358103560117     24.09s
  18      3.4 0.6172148854171199        3 0.25146091781240015 0.6450718881617653     23.36s
  19     3.65 0.9185099490556309        3 0.25282174573693 0.6328244368409971     22.59s
  20     3.14 1.162119941753518        3 0.25542866459346647 0.6093621671321682     21.85s
  21     3.28 0.7071274306427137        3 0.23951963106359708 0.7525434689009933     21.15s
  22     3.35 0.6513265185469861        3 0.2615081489833976 0.554646807622789     20.77s
  23     3.26 0.722837440141206        3 0.2624970425310317 0.5457467656940818     20.12s
  24     3.48 1.791072748295949        3 0.24829826024037344 0.6735358063100058     19.53s
  25      3.2 0.6368399490435044        3 0.2537421742918166 0.6245405798470175     18.88s
  26      3.4 4.272015716857895        3 0.25364267087332104 0.6254361106134777     18.32s
  27     3.28 0.5780966664620738        3 0.2433465712140562 0.7181010075468612     17.86s
  28     3.36 1.469193509901237        3 0.23714731204137152 0.7738943401010232     17.20s
  29     3.26 0.5094136718946474        3 0.25094817360259464 0.6496865860500156     16.64s
