    |    Population Average   |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    27.76 5102.270541526203       15 0.3709145740901199 0.9131943334823897     30.34s
   1     5.24 0.8739317183084137        3 0.3414071897548761 1.0405274293776794     26.54s
   2     3.62 0.7782134347520535        3 0.34896954361184407 0.6219764746248234     26.73s
   3     3.08 0.5617103899467709        3 0.311989592496795 0.9054894331735328     25.07s
   4     2.52 0.773045229734684        3 0.33294610927132723 0.7021091119457186     23.62s
   5     2.62 0.5463381485334523        3 0.2901622006011534 1.072832771040118     23.38s
   6     3.14 0.48665947025111733        3 0.3147635685376845 0.8842222835267135     22.78s
   7     3.02 0.5122857887129776        3 0.30971986752026165 0.9228906579936215     22.11s
   8     2.93 0.4683270948174271        3 0.3155991410871989 0.8351025346907024     21.55s
   9     3.11 0.6487466836141315        3 0.2962723518558141 1.0259882780877196     20.89s
  10     3.04 0.5125443652976053        3 0.3093505328750372 0.8830085309839418     21.16s
  11     3.18 0.5115695113510976        3 0.2901622006011534 1.072832771040118     20.49s
  12      3.4 0.49281277756543707        3 0.2901622006011534 1.072832771040118     19.88s
  13     3.11 1.2059858238471086        5 0.3009705751310772 1.1347938230397276     19.36s
  14     3.32 0.49462382275173084        3 0.2965393912850374 1.023940975797007     18.80s
  15     3.12 0.48856970335386607        3 0.31775089822614744 0.8613194225818307     18.28s
  16     3.18 0.5939012519038944        5 0.2850062168453826 0.9994318630237489     17.82s
  17     3.32 0.5467752102935578        3 0.3153764455845705 0.8795235595005874     17.43s
  18     3.68 4.109644987917094        3 0.30130943374283703 0.9873706502872105     17.14s
  19     3.32 2.0768292349325095        3 0.3056124018129109 0.9543812284166439     16.70s
  20     3.43 0.4983285751358838        3 0.28281997952982707 1.129123132586953     16.27s
  21     3.32 0.551840240004713        5 0.31676525252762905 0.9035529045159668     15.85s
  22     3.54 0.5070389768272047        5 0.2892187574487157 0.967135718398195     15.47s
  23     3.48 0.49685349015942193        3 0.28275781180060394 1.0295472766921197     15.03s
  24     3.56 0.49536736297352485        3 0.3050277109250048 0.9588638585572573     14.63s
  25     3.22 0.5350944491492914        3 0.2785064802602627 1.0621408185014025     14.22s
  26     3.28 0.8768040711438041        3 0.29611709564412453 0.9271261005584615     13.91s
  27     3.36 0.46979693985729154        3 0.2881754009372816 0.9880124266442571     13.46s
  28     3.26 0.48198417780459285        3 0.30229975137263543 0.8797257399732117     12.98s
  29     3.14 0.46251167030691365        3 0.3009340436701448 0.8901961656923062     12.55s
  30     3.22 0.46948639084298677        3 0.2800202453189192 1.0505352863850357     12.11s
  31     3.41 0.8569228367316015        3 0.2922285285564824 0.9569384482303848     11.67s
  32      3.1 0.4714358316502215        3 0.2907147634978259 0.9685439803467514     11.35s
  33     3.26 0.65130097947186        3 0.2800202453189192 1.0505352863850357     10.98s
  34     3.18 0.4743429871882323        5 0.29474962957550244 1.0723393471489375     10.58s
  35     3.35 0.44850651818414844        3 0.2922285285564824 0.9569384482303848     10.22s
  36     3.22 0.5252269697650311        3 0.29978304306418735 0.8990205036713134      9.80s
  37     3.25 0.46391111229679        3 0.29698518364916693 0.9204707591864697      9.37s
  38     3.28 10.48980582096944        3 0.2922285285564824 0.9569384482303848      8.95s
  39     3.18 0.5186410176125715        3 0.30036842718446577 0.8945325587491784      8.53s
  40     3.34 0.47677394829018577        3 0.2988546621258093 0.9061380908655451      8.17s
  41     3.28 0.6060782177624383        3 0.2785064802602627 1.0621408185014025      7.75s
  42     3.18 0.6095163063062209        3 0.29553171152384605 0.9316140454805965      7.32s
  43     3.15 0.6223304492689972        3 0.30518537521048605 0.8576026238830233      6.90s
  44      3.1 0.4742488181646156        3 0.28275781180060394 1.0295472766921197      6.46s
  45      3.3 0.842117934696608        3 0.2746179131726205 1.091953166173326      6.02s
  46     3.34 0.6080288976662875        3 0.2800202453189192 1.0505352863850357      5.63s
  47     3.34 0.6234359274942112        5 0.2880218566752227 1.0424711496556427      5.25s
  48     3.18 2.342802540683638        3 0.2785064802602627 1.0621408185014025      4.89s
  49     3.37 0.5757872501588909        3 0.2746179131726205 1.091953166173326      4.44s
  50     3.34 1.9012362588047755        3 0.28275781180060394 1.0295472766921197      3.99s
  51     3.36 0.4698799007024554        3 0.2800202453189192 1.0505352863850357      3.55s
  52     3.14 0.5225588676625312        3 0.29704547658250263 0.9200085133642296      3.10s
  53     3.18 0.4372600070824804        3 0.2922285285564824 0.9569384482303848      2.66s
  54     3.67 0.5538392638893911        3 0.3100255402355235 0.8204946920244032      2.22s
  55     3.32 0.5254235864905121        5 0.29474962957550244 1.0723393471489375      1.77s
  56     3.36 0.5306421645009263        3 0.29894377845368203 0.9054548656851876      1.33s
  57     3.24 0.5397053273672239        3 0.2949660950381671 0.9359504385374685      0.89s
  58     3.24 0.474602421323759        3 0.2785064802602627 1.0621408185014025      0.44s
  59     3.29 0.45949167740850727        3 0.2922285285564824 0.9569384482303848      0.00s
Final Fitness: 
    |    Population Average   |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    27.76 113.034503218712        3 0.447869360905098 0.6624134129941609     41.09s
   1     4.72 1.0601173665574144        3 0.39623988051069775 1.0092446011890865     32.64s
   2     3.61 0.8403170254587432        7 0.35774277820384626 0.8499961900422378     28.69s
   3     3.04 0.6691662138156937       11 0.33831781297557834 0.8963019732589504     26.80s
   4     2.83 0.646503033224547        5 0.35688832497460277 1.0206603454666772     27.57s
   5      2.5 0.5680567605226596        3 0.3358617571340308 1.5211383752390086     27.67s
   6     2.74 0.5888729804192174        9 0.2664509487704616 1.5637087896688688     29.69s
   7      3.0 0.6446122055124852        5 0.333939346940152 0.8902506103122404     31.14s
   8     3.04 0.5962496454238803        3 0.3254288409698178 0.9757486977066655     31.63s
   9     3.28 0.5948474366503604        5 0.31373823296424064 0.8544402046538186     31.07s
  10     3.38 0.5914999829218653        5 0.3087543162147851 0.8926502330663104     30.78s
  11     3.62 0.6390239503788381        5 0.23080080181484836 1.4902938434658257     30.14s
  12     4.21 0.5732154010914382        5 0.239403032799048 1.424343405920295     29.22s
  13     4.27 0.5880371856920307        5 0.234683198956349 1.4605287987143207     28.24s
  14     4.72 0.5382798662653174        5 0.23868635216801484 1.4298379574248827     27.33s
  15     4.68 0.5555998559842977        5 0.23992656516056235 1.420329657815352     26.42s
  16     4.96 0.6266524732442231        5 0.22995866127932488 1.496750254238173     25.66s
  17     4.78 0.5934532504547044        5 0.21778643513045923 1.5900706547128092     25.02s
  18     4.78 2.1708932762819786        5 0.29224797544237985 1.019198845654751     24.14s
  19     4.71 0.6970642949240485        5 0.24223360598972082 1.4026423447918035     23.50s
  20     4.86 0.6052001919813081        5 0.234683198956349 1.4605287987143207     22.47s
  21     4.88 0.592840483554249        5 0.21778643513045923 1.5900706547128092     21.74s
  22     4.82 0.5852407913874612        5 0.22901988732061687 1.5039475212549338     21.01s
  23      4.8 0.6276727989978488        5 0.23542959811734368 1.4548064051466951     20.47s
  24     5.06 0.6198423634395672        5 0.23542959811734368 1.4548064051466951     19.94s
  25     4.79 0.5669314839149632        5 0.23542959811734368 1.4548064051466951     19.26s
  26     4.74 0.8559712524473259        5 0.234683198956349 1.4605287987143207     18.61s
  27     4.89 0.576654590105779        5 0.22901988732061687 1.5039475212549338     17.90s
  28     4.92 0.5796513395545524        5 0.23675140965405478 1.4446725166985768     17.39s
  29     4.58 0.5398305509286594        5 0.22901988732061687 1.5039475212549338     16.75s
  30     4.79 0.7025226664574342        5 0.2810668908577142 1.1049204941371875     16.23s
  31     4.98 0.712125877769978        5 0.27535121161649007 1.1487407016532394     15.58s
  32     4.56 0.576495993631412        5 0.22995866127932488 1.496750254238173     15.00s
  33     4.76 0.7558015477013447        5 0.27535121161649007 1.1487407016532394     14.39s
  34     4.57 0.5456523641072789        5 0.22754347195458527 1.5152667057278428     13.78s
  35     4.92 0.588540897572753        5 0.24223360598972082 1.4026423447918035     13.17s
  36     4.78 0.6023907935505376        5 0.23675140965405478 1.4446725166985768     12.67s
  37     4.72 0.5638203116344449        5 0.27662156302347934 1.139001340866322     12.13s
  38     4.83 2.062789624927538        5 0.22443065842307647 1.5391316094694105     11.58s
  39     4.66 1.1508131556058572        5 0.239403032799048 1.424343405920295     11.02s
  40     4.69 0.6097443087380847        5 0.2136866297192979 1.6215024961983797     10.48s
  41     4.61 0.6935224795991551        5 0.23444472703715374 1.4623570834281512      9.94s
  42     4.66 0.5984042486495059        5 0.23081421249582176 1.49019102824503      9.40s
  43     4.78 0.7637958417093275        5 0.2149569811262871 1.611763135411462      8.86s
  44     4.76 0.6148307632869315        5 0.23992656516056235 1.420329657815352      8.26s
  45     4.96 0.6595187160898913        5 0.27252175761231795 1.1704331823518923      7.69s
  46     4.88 0.6063403040955055        5 0.2149569811262871 1.611763135411462      7.12s
  47     4.84 0.7170042802234198        5 0.22754347195458527 1.5152667057278428      6.57s
  48     4.55 3.9417356580509058        5 0.2136866297192979 1.6215024961983797      6.01s
  49     4.92 0.7655200070401043        5 0.22443065842307647 1.5391316094694105      5.45s
  50     5.12 0.634298726702668        5 0.23080080181484836 1.4902938434658257      4.89s
  51     4.86 0.7245475780928892        5 0.29247879439301394 1.0174292336998898      4.33s
  52     4.64 0.6302255369742299        5 0.23542959811734368 1.4548064051466951      3.79s
  53     4.86 0.5351337058154941        5 0.27252175761231795 1.1704331823518923      3.24s
  54     5.26 1.1831634292641127        5 0.23081421249582176 1.49019102824503      2.69s
  55     4.94 0.6813416270143177        5 0.23992656516056235 1.420329657815352      2.16s
  56     4.68 0.5915349679894133        5 0.23045705339845962 1.4929292479914729      1.61s
  57     4.83 0.7379833196366506        5 0.2136866297192979 1.6215024961983797      1.07s
  58      4.9 0.6381746008573267        5 0.234683198956349 1.4605287987143207      0.54s
  59     4.91 0.599526225299698        5 0.2905405681545036 1.032288968195136      0.00s
Final Fitness: 
    |    Population Average   |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    27.76 1885.6919561931998        7 0.3921113060410866 0.7558524553146526     31.51s
   1     5.22 1.3631901792488486        7 0.3894153184386432 0.7765216936000522     30.66s
   2     3.76 1.4436299350138808        3 0.34925155566333677 0.3410800213570036     27.85s
   3     3.29 2.7637095697892584        3 0.308928609187634 0.6502226110040579     26.33s
   4     2.94 1.7473481680130454        3 0.2933508195401643 0.7696523316346591     24.95s
   5     3.15 0.49746879369191505        3 0.284143800898167 0.8402394745566383     24.07s
   6     3.32 0.5097658621631754        3 0.29330864269382023 0.7699756874566303     24.40s
   7      3.3 0.7344288638664948        3 0.284143800898167 0.8402394745566383     24.01s
   8      3.2 0.511101807881506        3 0.295193536673747 0.755524833610525     23.02s
   9     3.34 0.8371215791509744        3 0.29330864269382023 0.7699756874566303     23.47s
  10     3.16 0.5256817608570646        3 0.29430320168419605 0.7623507351970823     22.90s
  11     3.24 0.6066986454520301        3 0.29257559624694823 0.7755957102159824     22.04s
  12     3.44 0.552380424185285        3 0.2997525470636011 0.7205724206216435     21.74s
  13     3.14 0.6718311367225651        3 0.30570032441769557 0.6749727942402526     21.96s
  14     3.16 0.4681931121127006        3 0.3028916566121695 0.6965059140826191     21.79s
  15     3.04 0.4875397824974519        3 0.29257559624694823 0.7755957102159824     21.70s
  16     3.14 0.6920015692591589        3 0.2943479865447331 0.7620073845996317     21.34s
  17     3.18 0.6091487601484963        3 0.295193536673747 0.755524833610525     20.79s
  18     3.53 2.5357892712203163        3 0.295193536673747 0.755524833610525     20.58s
  19     3.24 0.861317275868895        3 0.29512320983794915 0.7560640060183084     20.52s
  20     3.25 0.7310909371804368        3 0.29257559624694823 0.7755957102159824     20.32s
  21     3.19 0.5819885708257025        3 0.29241830770426924 0.7768015890431874     19.73s
  22     3.26 0.6127541361685791        3 0.29164308441105324 0.7827449676245107     19.12s
  23     3.13 0.6081991498054663        3 0.29330864269382023 0.7699756874566303     18.64s
  24     3.35 0.9901957887235027        3 0.29330864269382023 0.7699756874566303     18.52s
  25     3.14 0.5509334780774255        3 0.2943479865447331 0.7620073845996317     18.40s
  26     3.18 0.6902086933920053        3 0.29241830770426924 0.7768015890431874     18.05s
  27      3.3 0.5691896145967855        3 0.2933508195401643 0.7696523316346591     17.56s
  28     3.26 0.6634463526507404        3 0.30241266433674396 0.7001781881942151     17.08s
  29     3.14 0.5269295041436272        3 0.295193536673747 0.755524833610525     16.51s
  30      3.2 0.578313355274024        3 0.295193536673747 0.755524833610525     16.11s
  31     3.36 0.7647115762813367        3 0.284143800898167 0.8402394745566383     15.68s
  32     3.06 0.7566054090114867        3 0.29330864269382023 0.7699756874566303     15.26s
  33     3.25 0.7812963064665084        3 0.284143800898167 0.8402394745566383     14.88s
  34     3.17 0.48504373868928274        3 0.295193536673747 0.755524833610525     14.39s
  35     3.22 0.46171208977632006        3 0.284143800898167 0.8402394745566383     13.82s
  36     3.17 0.6116918889974355        3 0.2997525470636011 0.7205724206216435     13.29s
  37      3.2 0.571724637979385        3 0.2933508195401643 0.7696523316346591     12.76s
  38     3.26 3.2295920132695013        3 0.29330864269382023 0.7699756874566303     12.15s
  39     3.18 0.5147094452536061        3 0.284143800898167 0.8402394745566383     11.53s
  40     3.26 0.4932076946324965        3 0.29512320983794915 0.7560640060183084     10.91s
  41     3.16 0.6121844848219633        3 0.3047765505920963 0.682055060236514     10.31s
  42      3.1 0.6579506527714609        3 0.29241830770426924 0.7768015890431874      9.81s
  43     3.14 0.6382303134526458        3 0.2933508195401643 0.7696523316346591      9.20s
  44      3.1 0.5095034245247065        3 0.29330864269382023 0.7699756874566303      8.64s
  45      3.3 0.8342487114653455        3 0.2943479865447331 0.7620073845996317      8.01s
  46     3.28 0.7248097527632599        3 0.30362533202252817 0.6908810692698691      7.41s
  47     3.32 0.7895900249990224        3 0.2933508195401643 0.7696523316346591      6.84s
  48     3.08 0.928326905343702        3 0.3008501030530505 0.7121578247025315      6.25s
  49     3.36 2.0500837619797236        3 0.29257559624694823 0.7755957102159824      5.71s
  50     3.34 2.8227802642577244        3 0.284143800898167 0.8402394745566383      5.16s
  51     3.32 0.464808897595694        3 0.3008501030530505 0.7121578247025315      4.58s
  52     3.12 0.6256480798315345        3 0.284143800898167 0.8402394745566383      4.05s
  53     3.14 0.48998422352061566        3 0.2952357135200911 0.755201477788554      3.48s
  54      3.6 0.7518411775164695        3 0.29330864269382023 0.7699756874566303      2.91s
  55     3.31 0.667966065696277        3 0.295193536673747 0.755524833610525      2.33s
  56     3.23 0.5321200541036322        3 0.30262249335083535 0.6985694990861808      1.75s
  57     3.22 0.527120290041205        3 0.295193536673747 0.755524833610525      1.16s
  58     3.24 0.5173944347126028        3 0.30273499703297724 0.6977069708564264      0.58s
  59     3.27 0.5351147130641201        3 0.3026928201866332 0.6980303266783975      0.00s
Final Fitness: 
    |    Population Average   |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
   0    27.76 139.14051471842006        3 0.40733968495948725 1.2109372083383574      1.26m
   1     4.78 1.973357812858753        3 0.36412220076934393 0.4259463265851115      1.04m
   2     3.82 2.0314004178757217        3 0.2940020804133069 0.9635339159813959     50.55s
   3     3.46 0.6792306481419059        3 0.30142636985330346 0.9066143636080891     43.66s
   4     3.12 0.7375936643007651        3 0.2542732207179975 0.9298761214386979     43.56s
   5     3.14 0.502778412312838        3 0.2610568801147911 0.8778680660632802     39.81s
   6     3.32 0.5072945697391219        3 0.26429034336974394 0.8530781811086422     42.16s
   7      3.3 0.5694213302078471        3 0.2758846344778547 0.764188615946459     42.11s
   8      3.2 0.5080091308469715        3 0.25308727609654275 0.9389683635365179     41.62s
   9     3.34 3.512898294424903        3 0.26015638628994986 0.8847718520537297     39.39s
  10     3.16 0.6259548904045446        3 0.2610568801147911 0.8778680660632802     38.35s
  11     3.24 0.6009515461297336        3 0.26429034336974394 0.8530781811086422     36.05s
  12     3.44 0.6066383847047928        3 0.26694004568674345 0.8327637966783121     34.40s
  13     3.14 0.6127376543433489        3 0.2714766746418795 0.7979829746889356     33.36s
  14     3.16 0.5001070338089143        3 0.2757377625346765 0.7653146341774919     32.81s
  15     3.04 0.5469545995751759        3 0.2610568801147911 0.8778680660632802     33.31s
  16     3.14 0.5595010266739369        3 0.2542732207179975 0.9298761214386979     32.15s
  17     3.18 0.5552615414529708        3 0.26015638628994986 0.8847718520537297     30.62s
  18     3.53 3.786214668783011        3 0.2714766746418795 0.7979829746889356     29.52s
  19     3.24 0.8378846115701378        3 0.2732232409701969 0.7845926328385024     28.16s
  20     3.25 0.5977759690680386        3 0.2542732207179975 0.9298761214386979     26.94s
  21     3.19 0.5132931652496814        3 0.27440918559165167 0.7755003907406824     26.18s
  22     3.26 0.5220674210246539        3 0.2751917818367254 0.7695004861951175     25.23s
  23     3.13 0.5106667258033594        3 0.26734007539824456 0.8296969022234705     24.55s
  24     3.35 0.6213541528239451        3 0.2644075644484724 0.8521794861717238     23.65s
  25     3.14 0.4833428029189524        3 0.2610568801147911 0.8778680660632802     22.79s
  26     3.18 1.369495538047189        3 0.271359453563151 0.798881669625854     21.86s
  27      3.3 0.5618988709117416        3 0.26734007539824456 0.8296969022234705     21.02s
  28     3.26 0.5201545786589423        3 0.27602071890176444 0.7631453020298178     20.21s
  29     3.14 0.476799401756422        3 0.26015638628994986 0.8847718520537297     19.54s
  30      3.2 0.597653274731254        3 0.2842956612291431 0.699704077519915     18.76s
  31     3.36 47.089511082358655        3 0.27455181791322175 0.7744068762753118     18.02s
  32     3.06 0.4768668367685248        3 0.27244363181176817 0.790569636386456     17.38s
